onset	duration	trial_type	RT	response	stim_height	stim_width	stim_area	stim_area_scaled	stim_name
0.45	3.00	mal1	0	NaN	360	500	180000	0.0858	malware04.jpg
3.95	3.00	bus1	2136	4	768	1056	811008	0.7841	busRept18.jpg
7.45	3.00	mal1	1064	4	236	500	118000	0.0172	malware08.jpg
10.95	3.00	bus1	1059	4	692	1280	885760	0.8668	busRept15.jpg
14.45	3.00	mal2	648	4	360	500	180000	0.0858	malware04.jpg
17.95	3.00	bus2	1354	4	768	1056	811008	0.7841	busRept18.jpg
21.45	3.00	mal1	1483	4	448	500	224000	0.1345	malware20.jpg
24.95	3.00	mal1	1819	4	295	500	147500	0.0498	malware09.jpg
28.45	3.00	bus1	1849	4	768	1148	881664	0.8623	busRept17.jpg
31.95	3.00	mal1	2024	4	300	461	138300	0.0396	malware07.jpg
35.45	3.00	mal1	1698	4	389	500	194500	0.1018	malware01.jpg
38.95	3.00	mal1	1591	3	768	1223	939264	0.9261	malware03.jpg
42.45	3.00	mal2	1228	4	295	500	147500	0.0498	malware09.jpg
45.95	3.00	bus1	2108	4	768	1056	811008	0.7841	busRept20.jpg
49.45	3.00	bus1	0	NaN	768	1244	955392	0.9439	busRept14.jpg
52.53	3.00	mal1	2284	3	407	500	203500	0.1118	malware15.jpg
56.02	3.00	mal1	2041	4	265	500	132500	0.0332	malware10.jpg
59.52	3.00	mal1	2180	4	383	539	206437	0.1150	malware06.jpg
63.02	3.00	mal1	1941	3	410	500	205000	0.1134	malware17.jpg
66.52	3.00	bus1	1577	4	768	1021	784128	0.7544	busRept06.jpg
70.01	3.00	mal1	2067	3	271	500	135500	0.0365	malware12.jpg
73.51	3.00	mal2	2071	3	407	500	203500	0.1118	malware15.jpg
77.01	3.00	mal1	1677	4	609	1274	775866	0.7452	malware16.jpg
80.51	3.00	novel	1942	4	768	904	694272	0.6549	busNoRept09.jpg
84.01	3.00	bus2	1712	4	692	1280	885760	0.8668	busRept15.jpg
87.51	3.00	mal2	2347	4	389	500	194500	0.1018	malware01.jpg
91.01	3.00	mal1	1893	4	676	1274	861224	0.8397	malware19.jpg
94.51	3.00	bus2	1965	3	768	1244	955392	0.9439	busRept14.jpg
98.01	3.00	mal1	1556	4	598	1007	602186	0.5530	malware02.jpg
101.51	3.00	novel	1620	4	768	875	672000	0.6303	busNoRept14.jpg
105.01	3.00	mal3	1888	4	295	500	147500	0.0498	malware09.jpg
108.51	3.00	bus2	1989	4	768	1148	881664	0.8623	busRept17.jpg
112.01	3.00	bus1	1785	4	721	1280	922880	0.9079	busRept02.jpg
115.51	3.00	novel	1678	4	768	991	761088	0.7289	busNoRept13.jpg
119.01	3.00	bus1	1959	4	720	1280	921600	0.9065	busRept05.jpg
122.51	3.00	mal2	1427	3	271	500	135500	0.0365	malware12.jpg
126.01	3.00	mal2	1778	4	265	500	132500	0.0332	malware10.jpg
129.51	3.00	mal2	1450	4	236	500	118000	0.0172	malware08.jpg
133.01	3.00	mal3	1671	3	271	500	135500	0.0365	malware12.jpg
136.51	3.00	bus1	1891	3	686	1280	878080	0.8583	busRept19.jpg
140.01	3.00	bus2	2154	4	721	1280	922880	0.9079	busRept02.jpg
143.51	3.00	novel	2033	4	786	1280	1006080	1.0000	busNoRept17.jpg
147.01	3.00	mal1	1931	4	229	500	114500	0.0133	malware18.jpg
150.51	3.00	mal2	2188	4	229	500	114500	0.0133	malware18.jpg
154.01	3.00	bus3	1875	4	768	1148	881664	0.8623	busRept17.jpg
157.51	3.00	bus1	1712	4	760	1280	972800	0.9632	busRept07.jpg
161.01	3.00	bus2	1676	4	768	1056	811008	0.7841	busRept20.jpg
164.51	3.00	bus1	2872	4	686	1280	878080	0.8583	busRept09.jpg
168.01	3.00	bus2	1459	4	760	1280	972800	0.9632	busRept07.jpg
171.51	3.00	mal1	1580	4	281	500	140500	0.0421	malware14.jpg
175.01	3.00	mal1	2106	4	334	500	167000	0.0714	malware13.jpg
178.51	3.00	bus1	1912	4	768	879	675072	0.6337	busRept16.jpg
182.01	3.00	mal2	1887	4	334	500	167000	0.0714	malware13.jpg
185.51	3.00	mal1	1703	3	205	500	102500	0.0000	malware05.jpg
189.01	3.00	bus1	1703	4	768	1024	786432	0.7569	busRept03.jpg
192.51	3.00	mal2	2320	4	609	1274	775866	0.7452	malware16.jpg
196.01	3.00	bus1	2227	4	772	1280	988160	0.9802	busRept04.jpg
199.51	3.00	mal2	1489	4	598	1007	602186	0.5530	malware02.jpg
203.01	3.00	bus3	1288	4	768	1244	955392	0.9439	busRept14.jpg
206.51	3.00	novel	1686	4	768	1029	790272	0.7612	busNoRept19.jpg
210.01	3.00	novel	2007	3	686	1280	878080	0.8583	busNoRept15.jpg
213.51	3.00	mal3	2044	4	609	1274	775866	0.7452	malware16.jpg
217.03	3.00	mal3	1720	4	389	500	194500	0.1018	malware01.jpg
220.51	3.00	bus2	1185	4	768	1024	786432	0.7569	busRept03.jpg
224.01	3.00	bus2	1309	4	772	1280	988160	0.9802	busRept04.jpg
227.53	3.00	mal3	1295	4	265	500	132500	0.0332	malware10.jpg
231.03	3.00	mal1	2010	4	457	500	228500	0.1394	malware11.jpg
234.53	3.00	bus2	1631	4	686	1280	878080	0.8583	busRept09.jpg
238.02	3.00	bus1	1103	4	768	1029	790272	0.7612	busRept12.jpg
