onset	duration	trial_type	RT	response	stim_height	stim_width	stim_area	stim_area_scaled	stim_name
0.47	3.00	bus3	742	4	768	1021	784128	0.7544	busRept06.jpg
3.97	3.00	bus4	1925	4	772	1280	988160	0.9802	busRept04.jpg
7.47	3.00	bus4	757	4	768	1148	881664	0.8623	busRept17.jpg
10.97	3.00	novel	1432	4	768	1024	786432	0.7569	busNoRept02.jpg
14.47	3.00	mal4	1904	4	609	1274	775866	0.7452	malware16.jpg
17.97	3.00	novel	1114	4	768	1009	774912	0.7442	busNoRept07.jpg
21.47	3.00	mal4	1682	4	295	500	147500	0.0498	malware09.jpg
24.97	3.00	bus4	733	4	768	1056	811008	0.7841	busRept20.jpg
28.46	3.00	bus3	512	4	768	1020	783360	0.7535	busRept01.jpg
31.96	3.00	mal4	626	4	281	500	140500	0.0421	malware14.jpg
35.47	3.00	bus3	715	4	686	1280	878080	0.8583	busRept11.jpg
38.97	3.00	bus3	824	4	768	1029	790272	0.7612	busRept12.jpg
42.47	3.00	mal4	1113	4	229	500	114500	0.0133	malware18.jpg
45.97	3.00	mal4	2343	4	407	500	203500	0.1118	malware15.jpg
49.47	3.00	mal4	1479	4	383	539	206437	0.1150	malware06.jpg
52.96	3.00	mal5	599	4	676	1274	861224	0.8397	malware19.jpg
56.46	3.00	mal5	1514	3	300	461	138300	0.0396	malware07.jpg
59.96	3.00	mal5	807	4	383	539	206437	0.1150	malware06.jpg
63.46	3.00	mal4	1703	4	457	500	228500	0.1394	malware11.jpg
66.96	3.00	mal4	1132	4	410	500	205000	0.1134	malware17.jpg
70.46	3.00	mal5	1715	4	457	500	228500	0.1394	malware11.jpg
73.96	3.00	bus4	1121	4	697	1280	892160	0.8739	busRept13.jpg
77.46	3.00	mal4	971	4	334	500	167000	0.0714	malware13.jpg
80.96	3.00	bus4	804	4	686	1280	878080	0.8583	busRept09.jpg
84.46	3.00	mal5	1666	3	768	1223	939264	0.9261	malware03.jpg
87.96	3.00	bus4	663	4	760	1280	972800	0.9632	busRept07.jpg
91.46	3.00	bus5	804	4	772	1280	988160	0.9802	busRept04.jpg
94.96	3.00	mal5	1250	4	407	500	203500	0.1118	malware15.jpg
98.46	3.00	bus4	755	4	768	1029	790272	0.7612	busRept12.jpg
101.96	3.00	bus3	710	4	721	1280	922880	0.9079	busRept02.jpg
105.46	3.00	bus4	980	4	692	1280	885760	0.8668	busRept15.jpg
108.98	3.00	bus4	975	4	768	1024	786432	0.7569	busRept03.jpg
112.48	3.00	bus5	2357	4	768	1056	811008	0.7841	busRept20.jpg
115.98	3.00	mal4	1711	4	265	500	132500	0.0332	malware10.jpg
119.48	3.00	mal5	1655	4	295	500	147500	0.0498	malware09.jpg
122.98	3.00	bus4	1941	4	721	1280	922880	0.9079	busRept02.jpg
126.48	3.00	mal5	2127	4	334	500	167000	0.0714	malware13.jpg
129.98	3.00	mal4	753	4	598	1007	602186	0.5530	malware02.jpg
133.48	3.00	bus5	613	4	686	1280	878080	0.8583	busRept09.jpg
136.98	3.00	novel	1479	4	768	1176	903168	0.8861	busNoRept11.jpg
140.48	3.00	bus4	671	4	768	1020	783360	0.7535	busRept01.jpg
143.98	3.00	bus4	1562	4	768	1059	813312	0.7867	busRept08.jpg
147.48	3.00	mal5	2849	3	271	500	135500	0.0365	malware12.jpg
150.98	3.00	bus5	571	4	768	1020	783360	0.7535	busRept01.jpg
154.48	3.00	bus4	640	4	768	879	675072	0.6337	busRept16.jpg
157.98	3.00	bus5	840	4	760	1280	972800	0.9632	busRept07.jpg
161.48	3.00	bus4	601	4	768	1021	784128	0.7544	busRept06.jpg
164.98	3.00	mal5	2232	4	229	500	114500	0.0133	malware18.jpg
