onset	duration	trial_type	RT	response	stim_height	stim_width	stim_area	stim_area_scaled	stim_name
0.48	3.00	mal1	0	NaN	676	1274	861224	0.8397	malware19.jpg
3.98	3.00	mal1	2111	1	295	500	147500	0.0498	malware09.jpg
7.48	3.00	mal1	2501	1	448	500	224000	0.1345	malware20.jpg
10.98	3.00	bus1	953	1	768	879	675072	0.6337	busRept16.jpg
14.48	3.00	bus1	712	1	686	1280	878080	0.8583	busRept09.jpg
17.98	3.00	mal1	1007	1	383	539	206437	0.1150	malware06.jpg
21.48	3.00	mal2	1436	2	295	500	147500	0.0498	malware09.jpg
24.98	3.00	mal1	992	2	236	500	118000	0.0172	malware08.jpg
28.48	3.00	mal1	1577	1	229	500	114500	0.0133	malware18.jpg
31.98	3.00	bus1	1256	1	768	1056	811008	0.7841	busRept18.jpg
35.48	3.00	mal1	1197	1	281	500	140500	0.0421	malware14.jpg
38.98	3.00	bus1	713	1	768	1020	783360	0.7535	busRept01.jpg
42.48	3.00	bus2	643	1	686	1280	878080	0.8583	busRept09.jpg
45.98	3.00	bus2	1134	1	768	1056	811008	0.7841	busRept18.jpg
49.48	3.00	bus2	657	1	768	879	675072	0.6337	busRept16.jpg
52.98	3.00	mal1	2190	1	768	1223	939264	0.9261	malware03.jpg
56.48	3.00	mal1	2638	2	407	500	203500	0.1118	malware15.jpg
59.98	3.00	novel	1103	1	768	1148	881664	0.8623	busNoRept08.jpg
63.48	3.00	bus1	882	1	768	1029	790272	0.7612	busRept12.jpg
66.98	3.00	bus1	1820	1	772	1280	988160	0.9802	busRept04.jpg
70.48	3.00	bus1	1456	2	768	1024	786432	0.7569	busRept03.jpg
73.98	3.00	bus1	1272	2	697	1280	892160	0.8739	busRept13.jpg
77.48	3.00	mal1	1655	2	334	500	167000	0.0714	malware13.jpg
80.98	3.00	mal2	0	NaN	281	500	140500	0.0421	malware14.jpg
84.48	3.00	bus1	1451	1	768	1059	813312	0.7867	busRept08.jpg
87.98	3.00	mal1	2740	1	598	1007	602186	0.5530	malware02.jpg
91.48	3.00	bus1	2358	2	768	1244	955392	0.9439	busRept14.jpg
94.98	3.00	bus1	1800	1	760	1280	972800	0.9632	busRept07.jpg
98.48	3.00	novel	1134	1	768	1148	881664	0.8623	busNoRept18.jpg
101.98	3.00	bus2	830	2	697	1280	892160	0.8739	busRept13.jpg
