onset	duration	trial_type	RT	response	stim_height	stim_width	stim_area	stim_area_scaled	stim_name
0.47	3.00	mal4	1096	2	407	500	203500	0.1118	malware15.jpg
3.97	3.00	mal4	886	2	334	500	167000	0.0714	malware13.jpg
7.47	3.00	bus3	713	1	768	1021	784128	0.7544	busRept06.jpg
10.97	3.00	bus4	738	1	760	1280	972800	0.9632	busRept07.jpg
14.47	3.00	mal5	506	2	407	500	203500	0.1118	malware15.jpg
17.97	3.00	mal4	1619	2	265	500	132500	0.0332	malware10.jpg
21.47	3.00	novel	797	1	768	1009	774912	0.7442	busNoRept07.jpg
24.97	3.00	mal4	887	2	236	500	118000	0.0172	malware08.jpg
28.47	3.00	mal4	1360	2	281	500	140500	0.0421	malware14.jpg
31.96	3.00	bus3	1294	2	721	1280	922880	0.9079	busRept02.jpg
35.47	3.00	bus3	1153	1	768	1029	790272	0.7612	busRept12.jpg
38.98	3.00	bus4	744	2	697	1280	892160	0.8739	busRept13.jpg
42.48	3.00	mal4	738	2	389	500	194500	0.1018	malware01.jpg
45.98	3.00	bus4	829	1	768	1029	790272	0.7612	busRept12.jpg
49.48	3.00	mal5	1183	1	281	500	140500	0.0421	malware14.jpg
52.98	3.00	bus4	978	1	772	1280	988160	0.9802	busRept04.jpg
56.48	3.00	mal4	721	2	205	500	102500	0.0000	malware05.jpg
59.98	3.00	bus4	892	2	768	1024	786432	0.7569	busRept03.jpg
63.48	3.00	mal4	1179	2	295	500	147500	0.0498	malware09.jpg
66.98	3.00	mal4	845	2	457	500	228500	0.1394	malware11.jpg
70.48	3.00	bus3	820	1	768	1020	783360	0.7535	busRept01.jpg
73.98	3.00	bus4	1328	2	686	1280	878080	0.8583	busRept19.jpg
77.48	3.00	mal4	857	1	598	1007	602186	0.5530	malware02.jpg
80.98	3.00	mal4	1550	2	609	1274	775866	0.7452	malware16.jpg
84.48	3.00	mal5	1324	2	265	500	132500	0.0332	malware10.jpg
87.98	3.00	novel	967	1	768	1056	811008	0.7841	busNoRept12.jpg
91.48	3.00	bus4	594	1	768	1148	881664	0.8623	busRept17.jpg
94.98	3.00	bus4	942	1	768	879	675072	0.6337	busRept16.jpg
98.48	3.00	bus4	768	1	768	1056	811008	0.7841	busRept20.jpg
101.98	3.00	mal5	1342	2	271	500	135500	0.0365	malware12.jpg
105.48	3.00	bus4	745	1	768	1059	813312	0.7867	busRept08.jpg
108.98	3.00	bus5	651	2	768	1024	786432	0.7569	busRept03.jpg
112.48	3.00	bus5	688	2	697	1280	892160	0.8739	busRept13.jpg
115.98	3.00	bus4	1765	2	768	1244	955392	0.9439	busRept14.jpg
119.48	3.00	mal4	2273	2	360	500	180000	0.0858	malware04.jpg
122.98	3.00	bus4	763	1	686	1280	878080	0.8583	busRept09.jpg
126.48	3.00	mal5	1353	2	236	500	118000	0.0172	malware08.jpg
129.98	3.00	bus5	1708	2	768	1244	955392	0.9439	busRept14.jpg
133.48	3.00	mal4	2554	2	229	500	114500	0.0133	malware18.jpg
136.98	3.00	bus5	1394	1	760	1280	972800	0.9632	busRept07.jpg
140.48	3.00	bus5	676	1	768	1059	813312	0.7867	busRept08.jpg
143.98	3.00	bus5	1227	1	768	1056	811008	0.7841	busRept20.jpg
147.48	3.00	bus4	845	1	768	1056	811008	0.7841	busRept18.jpg
150.98	3.00	bus5	1876	1	768	1148	881664	0.8623	busRept17.jpg
154.48	3.00	bus6	764	2	768	1024	786432	0.7569	busRept03.jpg
157.98	3.00	bus5	1776	1	768	879	675072	0.6337	busRept16.jpg
161.48	3.00	bus4	1196	1	768	1020	783360	0.7535	busRept01.jpg
164.98	3.00	bus4	726	1	768	1021	784128	0.7544	busRept06.jpg
168.48	3.00	bus4	1078	1	692	1280	885760	0.8668	busRept15.jpg
171.98	3.00	bus5	875	1	768	1056	811008	0.7841	busRept18.jpg
175.48	3.00	bus3	783	1	686	1280	878080	0.8583	busRept11.jpg
178.98	3.00	mal5	798	2	300	461	138300	0.0396	malware07.jpg
182.48	3.00	novel	1438	2	768	1090	837120	0.8130	busNoRept05.jpg
185.98	3.00	mal6	2386	1	281	500	140500	0.0421	malware14.jpg
189.48	3.00	mal5	793	2	457	500	228500	0.1394	malware11.jpg
192.98	3.00	bus4	652	1	686	1280	878080	0.8583	busRept11.jpg
196.48	3.00	mal5	1806	2	360	500	180000	0.0858	malware04.jpg
199.98	3.00	mal5	1542	1	229	500	114500	0.0133	malware18.jpg
203.48	3.00	novel	933	1	768	1029	790272	0.7612	busNoRept16.jpg
206.97	3.00	mal5	2054	2	609	1274	775866	0.7452	malware16.jpg
210.47	3.00	mal5	1209	1	676	1274	861224	0.8397	malware19.jpg
213.97	3.00	bus6	2122	1	768	1056	811008	0.7841	busRept20.jpg
217.47	3.00	bus4	1568	2	720	1280	921600	0.9065	busRept05.jpg
220.97	3.00	bus5	1198	2	686	1280	878080	0.8583	busRept19.jpg
224.47	3.00	bus6	1336	2	768	1244	955392	0.9439	busRept14.jpg
227.97	3.00	mal4	1552	1	383	539	206437	0.1150	malware06.jpg
231.47	3.00	mal5	930	1	598	1007	602186	0.5530	malware02.jpg
234.97	3.00	mal5	992	2	295	500	147500	0.0498	malware09.jpg
238.47	3.00	mal5	809	2	205	500	102500	0.0000	malware05.jpg
241.97	3.00	bus5	1192	1	692	1280	885760	0.8668	busRept15.jpg
245.47	3.00	novel	939	1	768	1003	770304	0.7391	busNoRept01.jpg
248.97	3.00	bus5	1248	2	720	1280	921600	0.9065	busRept05.jpg
252.47	3.00	bus5	1232	1	768	1029	790272	0.7612	busRept12.jpg
255.97	3.00	bus5	831	1	768	1021	784128	0.7544	busRept06.jpg
259.47	3.00	mal4	1098	2	448	500	224000	0.1345	malware20.jpg
262.97	3.00	mal6	1283	2	457	500	228500	0.1394	malware11.jpg
266.47	3.00	bus6	613	1	768	1021	784128	0.7544	busRept06.jpg
269.97	3.00	bus5	1358	1	768	1020	783360	0.7535	busRept01.jpg
273.47	3.00	bus3	1638	1	756	1280	967680	0.9575	busRept10.jpg
276.97	3.00	bus5	1072	1	686	1280	878080	0.8583	busRept11.jpg
280.47	3.00	mal5	1009	2	389	500	194500	0.1018	malware01.jpg
283.97	3.00	bus5	1131	1	686	1280	878080	0.8583	busRept09.jpg
287.47	3.00	mal6	1521	2	236	500	118000	0.0172	malware08.jpg
290.97	3.00	bus5	904	1	772	1280	988160	0.9802	busRept04.jpg
294.47	3.00	mal6	1994	2	205	500	102500	0.0000	malware05.jpg
297.97	3.00	novel	2494	1	768	1176	903168	0.8861	busNoRept11.jpg
301.47	3.00	bus6	675	2	686	1280	878080	0.8583	busRept19.jpg
304.97	3.00	mal6	842	2	300	461	138300	0.0396	malware07.jpg
308.47	3.00	bus4	1560	2	721	1280	922880	0.9079	busRept02.jpg
311.97	3.00	bus5	1713	2	721	1280	922880	0.9079	busRept02.jpg
315.47	3.00	mal6	1103	2	389	500	194500	0.1018	malware01.jpg
318.97	3.00	mal6	1397	1	229	500	114500	0.0133	malware18.jpg
322.47	3.00	bus6	1081	1	772	1280	988160	0.9802	busRept04.jpg
325.97	3.00	bus6	1430	1	692	1280	885760	0.8668	busRept15.jpg
329.47	3.00	mal5	2497	2	448	500	224000	0.1345	malware20.jpg
332.97	3.00	novel	911	1	768	1024	786432	0.7569	busNoRept02.jpg
336.47	3.00	mal5	1627	1	383	539	206437	0.1150	malware06.jpg
339.97	3.00	mal4	1185	2	410	500	205000	0.1134	malware17.jpg
