onset	duration	trial_type	RT	response	stim_height	stim_width	stim_area	stim_area_scaled	stim_name
0.47	3.00	bus1	827	1	686	1280	878080	0.8583	busRept11.jpg
3.97	3.00	bus1	1221	1	768	1244	955392	0.9439	busRept14.jpg
7.47	3.00	mal1	1152	1	229	500	114500	0.0133	malware18.jpg
10.97	3.00	novel	932	2	768	991	761088	0.7289	busNoRept13.jpg
14.47	3.00	mal1	754	1	281	500	140500	0.0421	malware14.jpg
17.97	3.00	bus1	882	1	686	1280	878080	0.8583	busRept19.jpg
21.46	3.00	mal1	1033	1	389	500	194500	0.1018	malware01.jpg
24.98	3.00	bus1	920	1	692	1280	885760	0.8668	busRept15.jpg
28.48	3.00	mal1	838	1	598	1007	602186	0.5530	malware02.jpg
31.98	3.00	mal1	1179	1	205	500	102500	0.0000	malware05.jpg
35.48	3.00	bus1	1049	1	720	1280	921600	0.9065	busRept05.jpg
38.98	3.00	novel	1194	2	768	1005	771840	0.7408	busNoRept04.jpg
42.48	3.00	mal1	1145	2	334	500	167000	0.0714	malware13.jpg
45.98	3.00	mal1	1286	2	609	1274	775866	0.7452	malware16.jpg
49.48	3.00	mal1	1308	2	265	500	132500	0.0332	malware10.jpg
52.98	3.00	novel	1158	2	768	904	694272	0.6549	busNoRept09.jpg
56.48	3.00	mal2	1638	2	265	500	132500	0.0332	malware10.jpg
59.98	3.00	bus1	1159	1	721	1280	922880	0.9079	busRept02.jpg
63.48	3.00	mal2	1368	2	389	500	194500	0.1018	malware01.jpg
66.98	3.00	mal1	1152	1	271	500	135500	0.0365	malware12.jpg
70.48	3.00	bus1	905	1	686	1280	878080	0.8583	busRept09.jpg
73.98	3.00	bus1	996	1	768	1021	784128	0.7544	busRept06.jpg
77.48	3.00	bus2	1026	1	768	1021	784128	0.7544	busRept06.jpg
80.98	3.00	mal2	943	1	281	500	140500	0.0421	malware14.jpg
84.48	3.00	bus1	764	1	768	1029	790272	0.7612	busRept12.jpg
87.98	3.00	mal3	1064	2	265	500	132500	0.0332	malware10.jpg
91.48	3.00	mal2	1111	1	598	1007	602186	0.5530	malware02.jpg
94.98	3.00	novel	985	1	768	1148	881664	0.8623	busNoRept18.jpg
98.48	3.00	bus1	772	1	768	1056	811008	0.7841	busRept20.jpg
101.98	3.00	mal1	753	1	383	539	206437	0.1150	malware06.jpg
105.48	3.00	mal1	903	2	300	461	138300	0.0396	malware07.jpg
108.98	3.00	mal1	1705	1	410	500	205000	0.1134	malware17.jpg
112.48	3.00	novel	924	1	768	1042	800256	0.7722	busNoRept03.jpg
115.98	3.00	bus1	1230	1	768	1020	783360	0.7535	busRept01.jpg
119.48	3.00	mal2	1086	2	334	500	167000	0.0714	malware13.jpg
122.98	3.00	novel	843	1	768	1148	881664	0.8623	busNoRept08.jpg
126.48	3.00	mal2	1683	1	300	461	138300	0.0396	malware07.jpg
129.98	3.00	bus1	2135	1	768	1059	813312	0.7867	busRept08.jpg
133.48	3.00	bus1	2801	1	697	1280	892160	0.8739	busRept13.jpg
136.98	3.00	bus2	1563	1	768	1059	813312	0.7867	busRept08.jpg
140.48	3.00	mal1	1496	2	676	1274	861224	0.8397	malware19.jpg
143.98	3.00	bus2	1106	1	721	1280	922880	0.9079	busRept02.jpg
147.48	3.00	mal1	2451	2	768	1223	939264	0.9261	malware03.jpg
150.98	3.00	bus1	920	1	768	1148	881664	0.8623	busRept17.jpg
154.48	3.00	bus2	2280	1	768	1244	955392	0.9439	busRept14.jpg
157.98	3.00	novel	1013	1	768	1152	884736	0.8657	busNoRept10.jpg
161.48	3.00	bus1	1166	1	760	1280	972800	0.9632	busRept07.jpg
164.98	3.00	mal1	2475	1	407	500	203500	0.1118	malware15.jpg
168.48	3.00	bus2	1005	1	760	1280	972800	0.9632	busRept07.jpg
171.98	3.00	mal2	1258	1	383	539	206437	0.1150	malware06.jpg
175.48	3.00	mal2	1514	1	768	1223	939264	0.9261	malware03.jpg
178.98	3.00	novel	2220	1	686	1280	878080	0.8583	busNoRept15.jpg
182.48	3.00	bus1	1646	2	768	1024	786432	0.7569	busRept03.jpg
185.98	3.00	mal1	0	NaN	457	500	228500	0.1394	malware11.jpg
189.19	3.00	bus2	1157	1	697	1280	892160	0.8739	busRept13.jpg
192.68	3.00	bus3	674	1	768	1059	813312	0.7867	busRept08.jpg
196.18	3.00	mal2	1872	1	407	500	203500	0.1118	malware15.jpg
199.68	3.00	mal3	677	1	281	500	140500	0.0421	malware14.jpg
203.18	3.00	bus1	755	1	768	1056	811008	0.7841	busRept18.jpg
206.68	3.00	mal2	1974	2	676	1274	861224	0.8397	malware19.jpg
210.18	3.00	bus2	710	1	768	1148	881664	0.8623	busRept17.jpg
213.68	3.00	bus2	2301	1	720	1280	921600	0.9065	busRept05.jpg
217.18	3.00	bus3	706	1	760	1280	972800	0.9632	busRept07.jpg
220.68	3.00	bus3	1191	1	697	1280	892160	0.8739	busRept13.jpg
224.18	3.00	bus2	823	1	686	1280	878080	0.8583	busRept09.jpg
227.67	3.00	bus3	616	1	768	1148	881664	0.8623	busRept17.jpg
