onset	duration	trial_type	RT	response	stim_height	stim_width	stim_area	stim_area_scaled	stim_name
0.47	3.00	bus1	1792	1	768	1148	881664	0.8623	busRept17.jpg
3.97	3.00	mal1	2366	1	598	1007	602186	0.5530	malware02.jpg
7.47	3.00	bus1	0	NaN	768	879	675072	0.6337	busRept16.jpg
10.67	3.00	bus1	2268	1	768	1056	811008	0.7841	busRept18.jpg
14.15	3.00	bus1	1070	1	686	1280	878080	0.8583	busRept09.jpg
17.65	3.00	mal1	2430	1	389	500	194500	0.1018	malware01.jpg
21.15	3.00	bus1	1907	1	768	1056	811008	0.7841	busRept20.jpg
24.65	3.00	bus1	1413	2	720	1280	921600	0.9065	busRept05.jpg
28.15	3.00	bus1	0	NaN	768	1244	955392	0.9439	busRept14.jpg
31.47	3.00	bus1	0	NaN	768	1024	786432	0.7569	busRept03.jpg
34.97	3.00	bus2	835	1	768	1148	881664	0.8623	busRept17.jpg
38.47	3.00	mal1	1071	2	295	500	147500	0.0498	malware09.jpg
41.97	3.00	novel	1399	2	786	1280	1006080	1.0000	busNoRept17.jpg
45.47	3.00	bus1	994	1	768	1029	790272	0.7612	busRept12.jpg
48.97	3.00	bus1	1173	1	692	1280	885760	0.8668	busRept15.jpg
52.47	3.00	bus1	0	NaN	686	1280	878080	0.8583	busRept19.jpg
55.60	3.00	novel	1999	2	768	1005	771840	0.7408	busNoRept04.jpg
59.08	3.00	bus2	2133	1	768	1244	955392	0.9439	busRept14.jpg
62.58	3.00	mal1	1844	2	448	500	224000	0.1345	malware20.jpg
66.08	3.00	mal1	1822	1	383	539	206437	0.1150	malware06.jpg
69.58	3.00	novel	1565	1	760	1280	972800	0.9632	busNoRept06.jpg
73.08	3.00	mal1	2093	1	236	500	118000	0.0172	malware08.jpg
76.58	3.00	bus1	1099	1	768	1059	813312	0.7867	busRept08.jpg
80.08	3.00	bus2	1399	1	768	1056	811008	0.7841	busRept20.jpg
83.58	3.00	mal1	1954	2	265	500	132500	0.0332	malware10.jpg
87.08	3.00	bus2	1616	1	686	1280	878080	0.8583	busRept19.jpg
90.58	3.00	mal2	1783	1	389	500	194500	0.1018	malware01.jpg
94.08	3.00	mal1	2791	2	768	1223	939264	0.9261	malware03.jpg
97.58	3.00	mal1	2595	2	300	461	138300	0.0396	malware07.jpg
101.08	3.00	mal1	1580	1	457	500	228500	0.1394	malware11.jpg
104.58	3.00	novel	2363	1	686	1280	878080	0.8583	busNoRept15.jpg
108.08	3.00	bus2	1045	1	686	1280	878080	0.8583	busRept09.jpg
