onset	duration	trial_type	RT	response	stim_height	stim_width	stim_area	stim_area_scaled	stim_name
0.47	3.00	mal1	2628	1	410	500	205000	0.1134	malware17.jpg
3.97	3.00	mal1	0	NaN	295	500	147500	0.0498	malware09.jpg
7.47	3.00	bus1	894	1	686	1280	878080	0.8583	busRept19.jpg
10.97	3.00	novel	0	NaN	768	1029	790272	0.7612	busNoRept19.jpg
14.03	3.00	mal1	2918	2	334	500	167000	0.0714	malware13.jpg
17.52	3.00	bus1	2007	1	768	1056	811008	0.7841	busRept18.jpg
21.02	3.00	bus1	2084	1	720	1280	921600	0.9065	busRept05.jpg
24.52	3.00	mal1	2811	2	768	1223	939264	0.9261	malware03.jpg
28.02	3.00	bus1	1740	1	772	1280	988160	0.9802	busRept04.jpg
31.52	3.00	novel	1950	1	760	1280	972800	0.9632	busNoRept06.jpg
35.02	3.00	bus1	1240	1	692	1280	885760	0.8668	busRept15.jpg
38.52	3.00	mal2	2363	1	410	500	205000	0.1134	malware17.jpg
42.02	3.00	mal2	1146	2	295	500	147500	0.0498	malware09.jpg
45.52	3.00	bus1	2049	1	768	879	675072	0.6337	busRept16.jpg
49.02	3.00	bus1	1625	1	768	1020	783360	0.7535	busRept01.jpg
52.52	3.00	mal1	1496	2	271	500	135500	0.0365	malware12.jpg
56.02	3.00	mal1	0	NaN	448	500	224000	0.1345	malware20.jpg
59.11	3.00	mal1	1898	1	457	500	228500	0.1394	malware11.jpg
62.60	3.00	mal1	2756	2	300	461	138300	0.0396	malware07.jpg
66.10	3.00	bus2	1914	1	768	1056	811008	0.7841	busRept18.jpg
69.60	3.00	bus2	2096	1	692	1280	885760	0.8668	busRept15.jpg
73.10	3.00	bus1	1337	1	686	1280	878080	0.8583	busRept09.jpg
76.60	3.00	mal1	2437	2	265	500	132500	0.0332	malware10.jpg
80.10	3.00	novel	2059	1	768	1042	800256	0.7722	busNoRept03.jpg
83.60	3.00	bus1	2069	1	721	1280	922880	0.9079	busRept02.jpg
87.10	3.00	bus1	1386	1	768	1148	881664	0.8623	busRept17.jpg
90.60	3.00	mal2	2090	2	265	500	132500	0.0332	malware10.jpg
94.10	3.00	bus1	910	1	686	1280	878080	0.8583	busRept11.jpg
97.60	3.00	bus2	2156	1	768	879	675072	0.6337	busRept16.jpg
101.11	3.00	mal1	1662	2	598	1007	602186	0.5530	malware02.jpg
104.61	3.00	bus1	2655	1	768	1024	786432	0.7569	busRept03.jpg
108.11	3.00	mal1	1125	2	205	500	102500	0.0000	malware05.jpg
111.61	3.00	mal2	828	2	598	1007	602186	0.5530	malware02.jpg
115.11	3.00	mal2	0	NaN	300	461	138300	0.0396	malware07.jpg
118.61	3.00	mal1	60	2	609	1274	775866	0.7452	malware16.jpg
122.11	3.00	bus1	2578	1	768	1059	813312	0.7867	busRept08.jpg
125.61	3.00	mal1	2601	1	236	500	118000	0.0172	malware08.jpg
129.11	3.00	bus2	1831	1	720	1280	921600	0.9065	busRept05.jpg
132.61	3.00	mal1	1731	2	229	500	114500	0.0133	malware18.jpg
136.11	3.00	novel	0	NaN	768	875	672000	0.6303	busNoRept14.jpg
139.61	3.00	mal3	291	1	265	500	132500	0.0332	malware10.jpg
143.11	3.00	mal1	2512	2	407	500	203500	0.1118	malware15.jpg
146.61	3.00	bus2	1508	1	772	1280	988160	0.9802	busRept04.jpg
150.11	3.00	mal2	1935	2	334	500	167000	0.0714	malware13.jpg
153.61	3.00	bus1	1413	1	697	1280	892160	0.8739	busRept13.jpg
157.11	3.00	bus3	1823	2	768	879	675072	0.6337	busRept16.jpg
160.61	3.00	mal3	1954	2	334	500	167000	0.0714	malware13.jpg
164.11	3.00	bus2	899	1	768	1148	881664	0.8623	busRept17.jpg
167.61	3.00	bus1	2363	1	768	1056	811008	0.7841	busRept20.jpg
171.11	3.00	mal1	1334	2	389	500	194500	0.1018	malware01.jpg
174.61	3.00	mal1	1380	2	676	1274	861224	0.8397	malware19.jpg
178.11	3.00	bus2	1038	1	768	1056	811008	0.7841	busRept20.jpg
181.61	3.00	mal2	1358	2	271	500	135500	0.0365	malware12.jpg
185.11	3.00	mal2	2044	2	768	1223	939264	0.9261	malware03.jpg
188.61	3.00	bus1	2163	1	756	1280	967680	0.9575	busRept10.jpg
192.11	3.00	mal1	1074	2	360	500	180000	0.0858	malware04.jpg
195.61	3.00	novel	1372	1	768	1148	881664	0.8623	busNoRept08.jpg
199.11	3.00	mal1	0	NaN	383	539	206437	0.1150	malware06.jpg
202.44	3.00	bus1	1204	1	760	1280	972800	0.9632	busRept07.jpg
205.93	3.00	bus3	808	1	768	1148	881664	0.8623	busRept17.jpg
209.43	3.00	novel	1020	1	768	1152	884736	0.8657	busNoRept10.jpg
212.93	3.00	bus2	1621	1	768	1059	813312	0.7867	busRept08.jpg
216.43	3.00	bus2	1528	1	768	1020	783360	0.7535	busRept01.jpg
219.93	3.00	mal2	1207	2	407	500	203500	0.1118	malware15.jpg
223.43	3.00	bus1	1376	1	768	1029	790272	0.7612	busRept12.jpg
226.93	3.00	mal3	1459	2	768	1223	939264	0.9261	malware03.jpg
230.43	3.00	mal2	2432	2	229	500	114500	0.0133	malware18.jpg
233.93	3.00	novel	1801	1	768	991	761088	0.7289	busNoRept13.jpg
237.42	3.00	bus3	1537	1	772	1280	988160	0.9802	busRept04.jpg
240.92	3.00	novel	2153	1	768	904	694272	0.6549	busNoRept09.jpg
244.42	3.00	bus2	1330	1	768	1024	786432	0.7569	busRept03.jpg
247.92	3.00	novel	1419	1	786	1280	1006080	1.0000	busNoRept17.jpg
251.42	3.00	mal2	1415	2	448	500	224000	0.1345	malware20.jpg
254.92	3.00	mal2	1899	1	236	500	118000	0.0172	malware08.jpg
258.42	3.00	mal4	1850	1	768	1223	939264	0.9261	malware03.jpg
261.92	3.00	mal2	1906	1	360	500	180000	0.0858	malware04.jpg
265.42	3.00	mal2	2158	2	609	1274	775866	0.7452	malware16.jpg
268.92	3.00	mal2	1217	2	389	500	194500	0.1018	malware01.jpg
272.42	3.00	mal3	1606	1	407	500	203500	0.1118	malware15.jpg
275.92	3.00	bus2	1391	1	756	1280	967680	0.9575	busRept10.jpg
279.42	3.00	bus1	1085	1	768	1021	784128	0.7544	busRept06.jpg
282.92	3.00	bus2	1029	1	760	1280	972800	0.9632	busRept07.jpg
286.42	3.00	mal2	1819	2	205	500	102500	0.0000	malware05.jpg
289.92	3.00	bus1	1577	1	768	1244	955392	0.9439	busRept14.jpg
293.42	3.00	bus2	1190	1	697	1280	892160	0.8739	busRept13.jpg
296.92	3.00	bus3	2827	1	768	1056	811008	0.7841	busRept18.jpg
300.42	3.00	novel	1985	1	768	1148	881664	0.8623	busNoRept18.jpg
303.92	3.00	mal3	0	NaN	300	461	138300	0.0396	malware07.jpg
307.00	3.00	mal3	1059	2	205	500	102500	0.0000	malware05.jpg
310.49	3.00	bus2	831	1	768	1021	784128	0.7544	busRept06.jpg
313.99	3.00	mal3	1525	1	236	500	118000	0.0172	malware08.jpg
317.49	3.00	mal3	2554	2	360	500	180000	0.0858	malware04.jpg
320.99	3.00	mal2	1528	1	676	1274	861224	0.8397	malware19.jpg
324.49	3.00	bus3	662	1	760	1280	972800	0.9632	busRept07.jpg
327.99	3.00	bus2	1487	1	686	1280	878080	0.8583	busRept19.jpg
331.49	3.00	bus3	1277	1	768	1059	813312	0.7867	busRept08.jpg
334.99	3.00	mal3	0	NaN	295	500	147500	0.0498	malware09.jpg
338.44	3.00	novel	974	1	768	1005	771840	0.7408	busNoRept04.jpg
341.92	3.00	bus2	1245	1	768	1029	790272	0.7612	busRept12.jpg
345.42	3.00	bus3	794	1	768	1056	811008	0.7841	busRept20.jpg
348.94	3.00	mal2	2225	1	457	500	228500	0.1394	malware11.jpg
352.44	3.00	mal3	1393	1	229	500	114500	0.0133	malware18.jpg
355.94	3.00	mal3	2299	1	598	1007	602186	0.5530	malware02.jpg
359.44	3.00	bus2	0	NaN	721	1280	922880	0.9079	busRept02.jpg
362.94	3.00	mal2	2471	1	383	539	206437	0.1150	malware06.jpg
366.44	3.00	bus2	1018	1	768	1244	955392	0.9439	busRept14.jpg
369.94	3.00	bus3	881	1	720	1280	921600	0.9065	busRept05.jpg
373.44	3.00	novel	0	NaN	686	1280	878080	0.8583	busNoRept15.jpg
376.94	3.00	bus3	155	1	692	1280	885760	0.8668	busRept15.jpg
380.44	3.00	bus3	845	1	768	1024	786432	0.7569	busRept03.jpg
383.94	3.00	bus2	851	1	686	1280	878080	0.8583	busRept09.jpg
387.44	3.00	mal3	1635	1	389	500	194500	0.1018	malware01.jpg
390.94	3.00	bus3	729	1	686	1280	878080	0.8583	busRept19.jpg
394.44	3.00	mal3	1043	1	457	500	228500	0.1394	malware11.jpg
397.94	3.00	bus2	812	1	686	1280	878080	0.8583	busRept11.jpg
401.44	3.00	bus3	1204	1	697	1280	892160	0.8739	busRept13.jpg
404.94	3.00	mal3	1108	1	271	500	135500	0.0365	malware12.jpg
408.44	3.00	mal3	1671	1	676	1274	861224	0.8397	malware19.jpg
411.94	3.00	mal4	1341	1	300	461	138300	0.0396	malware07.jpg
415.43	3.00	mal1	1383	1	281	500	140500	0.0421	malware14.jpg
418.93	3.00	mal4	2466	1	271	500	135500	0.0365	malware12.jpg
422.43	3.00	mal3	2056	1	609	1274	775866	0.7452	malware16.jpg
425.93	3.00	bus3	1190	1	686	1280	878080	0.8583	busRept09.jpg
429.43	3.00	bus3	1046	1	768	1244	955392	0.9439	busRept14.jpg
432.93	3.00	mal4	941	1	676	1274	861224	0.8397	malware19.jpg
436.43	3.00	mal3	782	1	383	539	206437	0.1150	malware06.jpg
439.93	3.00	mal2	1187	1	281	500	140500	0.0421	malware14.jpg
443.43	3.00	mal3	2788	2	410	500	205000	0.1134	malware17.jpg
446.93	3.00	mal3	2828	2	448	500	224000	0.1345	malware20.jpg
450.43	3.00	mal3	1010	1	281	500	140500	0.0421	malware14.jpg
