onset	duration	trial_type	RT	response	stim_height	stim_width	stim_area	stim_area_scaled	stim_name
0.48	3.00	mal4	2236	1	383	539	206437	0.1150	malware06.jpg
3.98	3.00	bus4	1625	1	768	1056	811008	0.7841	busRept20.jpg
7.48	3.00	bus3	928	1	768	1021	784128	0.7544	busRept06.jpg
10.98	3.00	bus4	605	1	686	1280	878080	0.8583	busRept09.jpg
14.48	3.00	bus4	683	1	692	1280	885760	0.8668	busRept15.jpg
17.98	3.00	mal5	1687	1	768	1223	939264	0.9261	malware03.jpg
21.48	3.00	mal5	938	1	300	461	138300	0.0396	malware07.jpg
24.98	3.00	mal4	1765	1	334	500	167000	0.0714	malware13.jpg
28.48	3.00	bus3	927	1	721	1280	922880	0.9079	busRept02.jpg
31.98	3.00	mal4	2571	1	598	1007	602186	0.5530	malware02.jpg
35.48	3.00	bus4	835	1	697	1280	892160	0.8739	busRept13.jpg
38.98	3.00	mal4	1988	1	609	1274	775866	0.7452	malware16.jpg
42.48	3.00	bus4	1835	1	686	1280	878080	0.8583	busRept19.jpg
45.98	3.00	bus3	2193	1	768	1029	790272	0.7612	busRept12.jpg
49.48	3.00	bus3	2988	1	756	1280	967680	0.9575	busRept10.jpg
52.98	3.00	mal4	1845	1	229	500	114500	0.0133	malware18.jpg
56.48	3.00	bus5	0	NaN	692	1280	885760	0.8668	busRept15.jpg
59.98	3.00	bus3	29	1	768	1020	783360	0.7535	busRept01.jpg
63.48	3.00	bus5	0	NaN	686	1280	878080	0.8583	busRept09.jpg
66.76	3.00	mal4	0	NaN	389	500	194500	0.1018	malware01.jpg
70.25	3.00	bus4	17	1	760	1280	972800	0.9632	busRept07.jpg
73.75	3.00	mal5	1121	1	383	539	206437	0.1150	malware06.jpg
77.25	3.00	novel	2202	1	768	1090	837120	0.8130	busNoRept05.jpg
80.75	3.00	mal4	1701	2	265	500	132500	0.0332	malware10.jpg
84.25	3.00	bus5	2527	1	686	1280	878080	0.8583	busRept19.jpg
