onset	duration	trial_type	RT	response	stim_height	stim_width	stim_area	stim_area_scaled	stim_name
0.48	3.00	mal4	720	1	457	500	228500	0.1394	malware11.jpg
3.98	3.00	mal4	1230	1	229	500	114500	0.0133	malware18.jpg
7.48	3.00	mal4	1624	1	265	500	132500	0.0332	malware10.jpg
10.98	3.00	bus3	1131	1	768	1020	783360	0.7535	busRept01.jpg
14.48	3.00	mal4	1355	2	407	500	203500	0.1118	malware15.jpg
17.98	3.00	mal5	853	1	768	1223	939264	0.9261	malware03.jpg
21.48	3.00	mal4	687	2	205	500	102500	0.0000	malware05.jpg
24.98	3.00	bus4	836	1	686	1280	878080	0.8583	busRept19.jpg
28.48	3.00	bus4	954	1	768	879	675072	0.6337	busRept16.jpg
31.98	3.00	mal4	1365	2	281	500	140500	0.0421	malware14.jpg
35.48	3.00	bus3	665	1	686	1280	878080	0.8583	busRept11.jpg
38.98	3.00	bus3	792	1	768	1021	784128	0.7544	busRept06.jpg
42.48	3.00	bus4	674	1	768	1020	783360	0.7535	busRept01.jpg
45.98	3.00	mal4	1281	2	383	539	206437	0.1150	malware06.jpg
49.48	3.00	novel	959	1	768	1024	786432	0.7569	busNoRept02.jpg
52.98	3.00	mal4	1348	1	360	500	180000	0.0858	malware04.jpg
56.48	3.00	novel	1579	1	768	1003	770304	0.7391	busNoRept01.jpg
59.98	3.00	mal6	1144	1	768	1223	939264	0.9261	malware03.jpg
63.48	3.00	bus5	1496	1	686	1280	878080	0.8583	busRept19.jpg
66.98	3.00	bus4	1213	1	692	1280	885760	0.8668	busRept15.jpg
70.48	3.00	mal4	1307	2	609	1274	775866	0.7452	malware16.jpg
73.98	3.00	mal4	2220	1	410	500	205000	0.1134	malware17.jpg
77.48	3.00	mal4	2437	1	389	500	194500	0.1018	malware01.jpg
80.98	3.00	bus3	1014	1	756	1280	967680	0.9575	busRept10.jpg
84.48	3.00	bus4	807	1	768	1059	813312	0.7867	busRept08.jpg
87.98	3.00	mal5	1331	1	360	500	180000	0.0858	malware04.jpg
91.48	3.00	bus3	766	1	768	1029	790272	0.7612	busRept12.jpg
94.98	3.00	bus5	1032	1	692	1280	885760	0.8668	busRept15.jpg
98.48	3.00	bus4	715	1	772	1280	988160	0.9802	busRept04.jpg
101.98	3.00	bus4	709	1	768	1244	955392	0.9439	busRept14.jpg
105.50	3.00	bus4	1018	1	768	1056	811008	0.7841	busRept18.jpg
108.98	3.00	bus4	1169	2	720	1280	921600	0.9065	busRept05.jpg
112.48	3.00	mal5	1198	2	265	500	132500	0.0332	malware10.jpg
115.98	3.00	bus5	2423	2	720	1280	921600	0.9065	busRept05.jpg
119.48	3.00	mal5	1028	2	271	500	135500	0.0365	malware12.jpg
122.98	3.00	mal5	1014	1	389	500	194500	0.1018	malware01.jpg
126.48	3.00	bus4	1463	1	768	1148	881664	0.8623	busRept17.jpg
129.98	3.00	mal6	1032	1	389	500	194500	0.1018	malware01.jpg
133.48	3.00	mal4	1202	2	334	500	167000	0.0714	malware13.jpg
136.98	3.00	mal5	1462	2	609	1274	775866	0.7452	malware16.jpg
140.48	3.00	mal4	1302	2	295	500	147500	0.0498	malware09.jpg
143.98	3.00	mal5	2287	1	410	500	205000	0.1134	malware17.jpg
147.48	3.00	mal5	803	2	300	461	138300	0.0396	malware07.jpg
150.98	3.00	bus4	739	1	686	1280	878080	0.8583	busRept11.jpg
154.48	3.00	bus3	942	2	721	1280	922880	0.9079	busRept02.jpg
157.98	3.00	mal4	741	1	448	500	224000	0.1345	malware20.jpg
161.48	3.00	mal5	0	NaN	281	500	140500	0.0421	malware14.jpg
164.98	3.00	bus5	1228	1	768	1244	955392	0.9439	busRept14.jpg
168.48	3.00	bus6	547	1	768	1244	955392	0.9439	busRept14.jpg
171.98	3.00	bus4	676	1	768	1056	811008	0.7841	busRept20.jpg
175.48	3.00	mal4	939	2	236	500	118000	0.0172	malware08.jpg
178.98	3.00	mal5	631	1	295	500	147500	0.0498	malware09.jpg
182.48	3.00	bus4	832	1	686	1280	878080	0.8583	busRept09.jpg
185.98	3.00	bus4	2386	1	768	1021	784128	0.7544	busRept06.jpg
189.48	3.00	bus4	820	1	697	1280	892160	0.8739	busRept13.jpg
192.99	3.00	bus4	691	1	756	1280	967680	0.9575	busRept10.jpg
196.49	3.00	bus5	679	1	768	879	675072	0.6337	busRept16.jpg
199.99	3.00	mal5	632	1	383	539	206437	0.1150	malware06.jpg
203.49	3.00	mal4	848	1	598	1007	602186	0.5530	malware02.jpg
206.99	3.00	bus4	773	1	768	1029	790272	0.7612	busRept12.jpg
210.49	3.00	bus5	529	1	768	1020	783360	0.7535	busRept01.jpg
213.99	3.00	mal5	825	2	334	500	167000	0.0714	malware13.jpg
217.49	3.00	bus4	1173	1	721	1280	922880	0.9079	busRept02.jpg
220.99	3.00	bus4	893	1	768	1024	786432	0.7569	busRept03.jpg
224.49	3.00	mal5	1040	1	448	500	224000	0.1345	malware20.jpg
227.99	3.00	bus5	705	1	686	1280	878080	0.8583	busRept09.jpg
231.49	3.00	bus5	2542	1	768	1024	786432	0.7569	busRept03.jpg
234.99	3.00	bus4	779	1	760	1280	972800	0.9632	busRept07.jpg
238.49	3.00	bus5	752	1	772	1280	988160	0.9802	busRept04.jpg
241.99	3.00	bus6	847	1	686	1280	878080	0.8583	busRept19.jpg
245.49	3.00	mal5	701	1	598	1007	602186	0.5530	malware02.jpg
248.99	3.00	bus5	597	1	768	1059	813312	0.7867	busRept08.jpg
252.49	3.00	mal5	789	2	457	500	228500	0.1394	malware11.jpg
