onset	duration	trial_type	RT	response	stim_height	stim_width	stim_area	stim_area_scaled	stim_name
0.48	3.00	bus1	0	NaN	768	1056	811008	0.7841	busRept20.jpg
3.98	3.00	mal1	2591	1	768	1223	939264	0.9261	malware03.jpg
7.48	3.00	novel	1580	1	686	1280	878080	0.8583	busNoRept15.jpg
10.98	3.00	bus1	1354	1	697	1280	892160	0.8739	busRept13.jpg
14.48	3.00	bus1	1551	1	768	1020	783360	0.7535	busRept01.jpg
17.98	3.00	bus1	1172	1	686	1280	878080	0.8583	busRept09.jpg
21.48	3.00	mal1	1321	1	676	1274	861224	0.8397	malware19.jpg
24.98	3.00	bus1	1702	1	756	1280	967680	0.9575	busRept10.jpg
28.48	3.00	bus1	1598	1	768	879	675072	0.6337	busRept16.jpg
31.98	3.00	mal1	1414	1	300	461	138300	0.0396	malware07.jpg
35.48	3.00	bus2	1583	1	768	879	675072	0.6337	busRept16.jpg
38.98	3.00	bus1	1370	1	768	1059	813312	0.7867	busRept08.jpg
42.48	3.00	novel	1926	1	768	1042	800256	0.7722	busNoRept03.jpg
45.98	3.00	bus1	1057	1	768	1021	784128	0.7544	busRept06.jpg
49.48	3.00	mal1	1712	2	360	500	180000	0.0858	malware04.jpg
52.98	3.00	bus1	0	NaN	772	1280	988160	0.9802	busRept04.jpg
56.48	3.00	novel	970	1	768	1148	881664	0.8623	busNoRept18.jpg
59.98	3.00	mal1	2492	2	295	500	147500	0.0498	malware09.jpg
63.48	3.00	bus2	1750	1	772	1280	988160	0.9802	busRept04.jpg
66.98	3.00	mal1	1515	1	271	500	135500	0.0365	malware12.jpg
70.48	3.00	bus1	1077	1	768	1029	790272	0.7612	busRept12.jpg
73.98	3.00	novel	1836	1	760	1280	972800	0.9632	busNoRept06.jpg
77.48	3.00	mal1	1678	2	389	500	194500	0.1018	malware01.jpg
80.98	3.00	mal2	887	2	360	500	180000	0.0858	malware04.jpg
84.48	3.00	mal2	1292	1	271	500	135500	0.0365	malware12.jpg
87.98	3.00	bus1	2867	2	768	1056	811008	0.7841	busRept18.jpg
91.48	3.00	mal2	860	2	389	500	194500	0.1018	malware01.jpg
94.98	3.00	mal1	2198	2	609	1274	775866	0.7452	malware16.jpg
98.48	3.00	mal1	2066	2	598	1007	602186	0.5530	malware02.jpg
101.98	3.00	mal1	2589	1	407	500	203500	0.1118	malware15.jpg
105.48	3.00	novel	2056	1	786	1280	1006080	1.0000	busNoRept17.jpg
108.98	3.00	mal1	2252	2	457	500	228500	0.1394	malware11.jpg
112.48	3.00	mal1	1502	1	229	500	114500	0.0133	malware18.jpg
115.98	3.00	bus1	1507	2	768	1024	786432	0.7569	busRept03.jpg
119.48	3.00	bus3	1444	1	772	1280	988160	0.9802	busRept04.jpg
122.98	3.00	bus1	1692	2	720	1280	921600	0.9065	busRept05.jpg
126.48	3.00	mal3	1082	1	271	500	135500	0.0365	malware12.jpg
129.98	3.00	bus1	2661	1	768	1148	881664	0.8623	busRept17.jpg
133.48	3.00	mal2	1938	1	407	500	203500	0.1118	malware15.jpg
136.98	3.00	bus1	1655	1	686	1280	878080	0.8583	busRept11.jpg
140.48	3.00	mal2	1576	1	676	1274	861224	0.8397	malware19.jpg
143.98	3.00	bus2	1508	1	768	1056	811008	0.7841	busRept18.jpg
147.48	3.00	mal1	2109	1	410	500	205000	0.1134	malware17.jpg
150.98	3.00	bus1	1913	2	686	1280	878080	0.8583	busRept19.jpg
154.48	3.00	mal1	1362	1	236	500	118000	0.0172	malware08.jpg
157.98	3.00	mal2	1729	2	768	1223	939264	0.9261	malware03.jpg
161.48	3.00	mal3	898	2	389	500	194500	0.1018	malware01.jpg
164.98	3.00	mal2	1245	2	609	1274	775866	0.7452	malware16.jpg
168.48	3.00	mal1	1458	1	265	500	132500	0.0332	malware10.jpg
171.98	3.00	mal3	1266	2	360	500	180000	0.0858	malware04.jpg
175.48	3.00	mal3	1417	1	407	500	203500	0.1118	malware15.jpg
178.98	3.00	mal2	2356	1	410	500	205000	0.1134	malware17.jpg
182.48	3.00	bus1	2229	1	768	1244	955392	0.9439	busRept14.jpg
185.98	3.00	mal3	2331	1	676	1274	861224	0.8397	malware19.jpg
189.48	3.00	mal3	699	2	768	1223	939264	0.9261	malware03.jpg
192.98	3.00	mal2	1300	1	236	500	118000	0.0172	malware08.jpg
196.48	3.00	bus2	1832	1	768	1148	881664	0.8623	busRept17.jpg
199.98	3.00	bus2	1219	1	768	1020	783360	0.7535	busRept01.jpg
203.48	3.00	bus2	1268	1	768	1056	811008	0.7841	busRept20.jpg
206.98	3.00	mal2	1281	1	300	461	138300	0.0396	malware07.jpg
210.48	3.00	bus2	1411	2	768	1024	786432	0.7569	busRept03.jpg
213.97	3.00	mal3	1946	1	236	500	118000	0.0172	malware08.jpg
217.47	3.00	mal4	1468	1	676	1274	861224	0.8397	malware19.jpg
220.97	3.00	mal1	1008	2	334	500	167000	0.0714	malware13.jpg
224.47	3.00	bus2	886	1	686	1280	878080	0.8583	busRept09.jpg
227.97	3.00	bus2	1250	1	768	1244	955392	0.9439	busRept14.jpg
231.47	3.00	mal2	1341	1	229	500	114500	0.0133	malware18.jpg
234.97	3.00	bus3	1089	1	768	1056	811008	0.7841	busRept20.jpg
238.47	3.00	mal2	2223	1	295	500	147500	0.0498	malware09.jpg
241.97	3.00	mal3	808	1	300	461	138300	0.0396	malware07.jpg
245.47	3.00	mal2	2524	2	598	1007	602186	0.5530	malware02.jpg
248.97	3.00	novel	2487	1	768	1029	790272	0.7612	busNoRept19.jpg
252.47	3.00	bus2	660	1	768	1021	784128	0.7544	busRept06.jpg
255.97	3.00	bus2	1461	1	768	1059	813312	0.7867	busRept08.jpg
259.47	3.00	bus2	910	1	756	1280	967680	0.9575	busRept10.jpg
262.97	3.00	bus2	1028	1	686	1280	878080	0.8583	busRept11.jpg
266.47	3.00	bus2	815	1	697	1280	892160	0.8739	busRept13.jpg
269.97	3.00	mal1	1669	2	205	500	102500	0.0000	malware05.jpg
273.47	3.00	bus2	1077	2	686	1280	878080	0.8583	busRept19.jpg
276.97	3.00	mal3	2137	2	410	500	205000	0.1134	malware17.jpg
280.47	3.00	mal3	2029	2	609	1274	775866	0.7452	malware16.jpg
283.97	3.00	mal2	1290	2	334	500	167000	0.0714	malware13.jpg
287.47	3.00	bus2	1597	2	720	1280	921600	0.9065	busRept05.jpg
290.97	3.00	mal2	1335	1	265	500	132500	0.0332	malware10.jpg
294.47	3.00	novel	1775	2	768	1005	771840	0.7408	busNoRept04.jpg
297.97	3.00	bus3	1045	2	686	1280	878080	0.8583	busRept19.jpg
301.47	3.00	bus3	2619	1	768	1244	955392	0.9439	busRept14.jpg
304.97	3.00	novel	1401	1	768	991	761088	0.7289	busNoRept13.jpg
308.47	3.00	bus3	974	1	768	1059	813312	0.7867	busRept08.jpg
311.97	3.00	mal2	2244	1	457	500	228500	0.1394	malware11.jpg
315.47	3.00	mal1	1532	1	448	500	224000	0.1345	malware20.jpg
318.97	3.00	mal1	2053	1	383	539	206437	0.1150	malware06.jpg
322.47	3.00	mal2	1830	1	383	539	206437	0.1150	malware06.jpg
325.97	3.00	bus1	1260	1	692	1280	885760	0.8668	busRept15.jpg
329.47	3.00	bus2	949	1	692	1280	885760	0.8668	busRept15.jpg
332.97	3.00	mal1	1651	1	281	500	140500	0.0421	malware14.jpg
336.47	3.00	mal3	1405	1	265	500	132500	0.0332	malware10.jpg
339.97	3.00	bus1	1410	1	760	1280	972800	0.9632	busRept07.jpg
343.47	3.00	novel	1718	1	768	904	694272	0.6549	busNoRept09.jpg
346.97	3.00	mal3	851	2	334	500	167000	0.0714	malware13.jpg
350.47	3.00	mal2	2216	2	205	500	102500	0.0000	malware05.jpg
353.97	3.00	bus3	1320	1	686	1280	878080	0.8583	busRept09.jpg
357.47	3.00	mal4	2086	1	271	500	135500	0.0365	malware12.jpg
360.97	3.00	bus3	607	1	697	1280	892160	0.8739	busRept13.jpg
364.47	3.00	novel	848	1	768	875	672000	0.6303	busNoRept14.jpg
367.97	3.00	mal2	1246	2	281	500	140500	0.0421	malware14.jpg
371.47	3.00	mal2	2156	1	448	500	224000	0.1345	malware20.jpg
374.97	3.00	mal4	1298	2	768	1223	939264	0.9261	malware03.jpg
