onset	duration	trial_type	RT	response	stim_height	stim_width	stim_area	stim_area_scaled	stim_name
0.47	3.00	bus1	1253	1	686	1280	878080	0.8583	busRept09.jpg
3.97	3.00	bus1	1012	1	768	1056	811008	0.7841	busRept18.jpg
7.47	3.00	bus1	888	2	768	1024	786432	0.7569	busRept03.jpg
10.97	3.00	bus1	1354	2	768	1244	955392	0.9439	busRept14.jpg
14.47	3.00	novel	1242	2	686	1280	878080	0.8583	busNoRept15.jpg
17.97	3.00	bus1	1336	2	686	1280	878080	0.8583	busRept19.jpg
21.47	3.00	bus1	1506	1	760	1280	972800	0.9632	busRept07.jpg
24.97	3.00	bus1	976	1	768	1056	811008	0.7841	busRept20.jpg
28.46	3.00	mal1	1510	2	676	1274	861224	0.8397	malware19.jpg
31.96	3.00	bus2	1119	2	768	1024	786432	0.7569	busRept03.jpg
35.47	3.00	bus1	669	1	768	1029	790272	0.7612	busRept12.jpg
38.97	3.00	mal1	919	2	334	500	167000	0.0714	malware13.jpg
42.47	3.00	mal1	948	2	598	1007	602186	0.5530	malware02.jpg
45.97	3.00	novel	1106	2	768	1152	884736	0.8657	busNoRept10.jpg
49.47	3.00	bus3	648	2	768	1024	786432	0.7569	busRept03.jpg
52.97	3.00	mal1	935	2	448	500	224000	0.1345	malware20.jpg
56.46	3.00	bus1	1222	2	768	1148	881664	0.8623	busRept17.jpg
59.96	3.00	mal1	880	2	295	500	147500	0.0498	malware09.jpg
63.46	3.00	mal1	920	2	360	500	180000	0.0858	malware04.jpg
66.96	3.00	bus2	861	2	686	1280	878080	0.8583	busRept19.jpg
70.46	3.00	bus1	778	1	692	1280	885760	0.8668	busRept15.jpg
73.96	3.00	bus1	1271	2	768	879	675072	0.6337	busRept16.jpg
77.46	3.00	bus1	1681	1	768	1059	813312	0.7867	busRept08.jpg
80.96	3.00	mal1	2010	2	407	500	203500	0.1118	malware15.jpg
84.46	3.00	mal2	883	2	598	1007	602186	0.5530	malware02.jpg
87.96	3.00	mal2	1168	2	407	500	203500	0.1118	malware15.jpg
91.46	3.00	bus2	1642	1	768	1059	813312	0.7867	busRept08.jpg
94.96	3.00	novel	1287	1	768	904	694272	0.6549	busNoRept09.jpg
98.46	3.00	mal1	2116	1	281	500	140500	0.0421	malware14.jpg
101.96	3.00	mal2	0	NaN	448	500	224000	0.1345	malware20.jpg
105.46	3.00	mal1	1841	1	236	500	118000	0.0172	malware08.jpg
108.96	3.00	bus2	1119	2	768	1148	881664	0.8623	busRept17.jpg
112.46	3.00	mal1	1054	2	205	500	102500	0.0000	malware05.jpg
115.96	3.00	bus1	1578	2	768	1021	784128	0.7544	busRept06.jpg
119.46	3.00	mal1	1711	2	300	461	138300	0.0396	malware07.jpg
122.96	3.00	mal2	777	2	334	500	167000	0.0714	malware13.jpg
126.46	3.00	mal1	666	2	389	500	194500	0.1018	malware01.jpg
129.96	3.00	mal3	1422	2	448	500	224000	0.1345	malware20.jpg
