onset	duration	trial_type	RT	response	stim_height	stim_width	stim_area	stim_area_scaled	stim_name
0.48	3.00	mal1	1837	1	457	500	228500	0.1394	malware11.jpg
3.98	3.00	mal1	1400	1	236	500	118000	0.0172	malware08.jpg
7.48	3.00	bus1	1481	1	768	1020	783360	0.7535	busRept01.jpg
10.98	3.00	novel	1204	2	768	991	761088	0.7289	busNoRept13.jpg
14.48	3.00	bus1	828	1	697	1280	892160	0.8739	busRept13.jpg
17.98	3.00	mal1	1275	2	271	500	135500	0.0365	malware12.jpg
21.48	3.00	mal2	1164	1	236	500	118000	0.0172	malware08.jpg
24.98	3.00	bus1	1333	1	760	1280	972800	0.9632	busRept07.jpg
28.48	3.00	mal1	1352	1	768	1223	939264	0.9261	malware03.jpg
31.98	3.00	mal1	1872	2	410	500	205000	0.1134	malware17.jpg
35.48	3.00	mal1	2575	2	407	500	203500	0.1118	malware15.jpg
38.98	3.00	bus1	1455	2	720	1280	921600	0.9065	busRept05.jpg
42.48	3.00	mal2	1811	1	457	500	228500	0.1394	malware11.jpg
45.98	3.00	bus1	1929	1	756	1280	967680	0.9575	busRept10.jpg
49.48	3.00	bus1	1456	1	768	1059	813312	0.7867	busRept08.jpg
52.98	3.00	mal1	1319	2	265	500	132500	0.0332	malware10.jpg
56.48	3.00	mal1	2617	2	598	1007	602186	0.5530	malware02.jpg
59.98	3.00	mal2	1395	2	265	500	132500	0.0332	malware10.jpg
63.48	3.00	bus1	909	1	692	1280	885760	0.8668	busRept15.jpg
66.98	3.00	mal1	1571	1	676	1274	861224	0.8397	malware19.jpg
70.48	3.00	mal2	1126	1	676	1274	861224	0.8397	malware19.jpg
73.98	3.00	bus1	2069	1	768	879	675072	0.6337	busRept16.jpg
77.48	3.00	bus2	1166	1	768	1020	783360	0.7535	busRept01.jpg
80.98	3.00	bus1	2152	2	721	1280	922880	0.9079	busRept02.jpg
84.48	3.00	bus1	1044	1	768	1021	784128	0.7544	busRept06.jpg
87.98	3.00	novel	1206	2	768	1005	771840	0.7408	busNoRept04.jpg
91.48	3.00	mal1	1896	2	383	539	206437	0.1150	malware06.jpg
94.98	3.00	bus1	2343	1	768	1148	881664	0.8623	busRept17.jpg
98.48	3.00	mal2	1391	2	383	539	206437	0.1150	malware06.jpg
101.98	3.00	bus1	2548	2	768	1244	955392	0.9439	busRept14.jpg
105.48	3.00	novel	2187	2	768	904	694272	0.6549	busNoRept09.jpg
108.98	3.00	mal1	2346	2	448	500	224000	0.1345	malware20.jpg
112.48	3.00	bus1	1352	1	768	1056	811008	0.7841	busRept18.jpg
115.98	3.00	mal3	1124	1	676	1274	861224	0.8397	malware19.jpg
119.48	3.00	bus2	1777	1	768	1244	955392	0.9439	busRept14.jpg
122.98	3.00	novel	1652	1	768	1152	884736	0.8657	busNoRept10.jpg
126.48	3.00	bus1	976	1	768	1056	811008	0.7841	busRept20.jpg
129.98	3.00	mal1	1562	2	229	500	114500	0.0133	malware18.jpg
133.48	3.00	mal1	2021	2	300	461	138300	0.0396	malware07.jpg
136.98	3.00	mal1	2681	2	609	1274	775866	0.7452	malware16.jpg
140.48	3.00	mal1	1676	1	360	500	180000	0.0858	malware04.jpg
143.98	3.00	mal3	1427	1	236	500	118000	0.0172	malware08.jpg
147.48	3.00	bus1	1122	1	686	1280	878080	0.8583	busRept09.jpg
150.98	3.00	mal2	1407	2	229	500	114500	0.0133	malware18.jpg
154.48	3.00	mal2	2195	2	609	1274	775866	0.7452	malware16.jpg
157.98	3.00	novel	1187	1	768	1029	790272	0.7612	busNoRept19.jpg
161.48	3.00	mal2	0	NaN	768	1223	939264	0.9261	malware03.jpg
164.98	3.00	bus2	2440	1	768	879	675072	0.6337	busRept16.jpg
168.48	3.00	bus2	1233	1	768	1148	881664	0.8623	busRept17.jpg
171.98	3.00	bus2	950	1	768	1056	811008	0.7841	busRept20.jpg
175.48	3.00	bus1	989	1	768	1029	790272	0.7612	busRept12.jpg
178.98	3.00	bus3	912	1	768	879	675072	0.6337	busRept16.jpg
182.48	3.00	mal3	1253	2	229	500	114500	0.0133	malware18.jpg
185.98	3.00	bus1	2622	1	686	1280	878080	0.8583	busRept19.jpg
189.48	3.00	mal2	1225	1	407	500	203500	0.1118	malware15.jpg
192.98	3.00	mal1	1807	2	389	500	194500	0.1018	malware01.jpg
196.48	3.00	bus2	1153	1	692	1280	885760	0.8668	busRept15.jpg
199.98	3.00	bus2	1450	1	760	1280	972800	0.9632	busRept07.jpg
203.48	3.00	bus1	1216	1	686	1280	878080	0.8583	busRept11.jpg
206.97	3.00	bus1	0	NaN	772	1280	988160	0.9802	busRept04.jpg
210.47	3.00	mal2	1316	1	389	500	194500	0.1018	malware01.jpg
213.97	3.00	mal1	1412	2	334	500	167000	0.0714	malware13.jpg
217.47	3.00	mal3	1969	2	389	500	194500	0.1018	malware01.jpg
220.97	3.00	bus3	886	1	768	1148	881664	0.8623	busRept17.jpg
224.47	3.00	mal2	1023	2	300	461	138300	0.0396	malware07.jpg
227.97	3.00	mal2	2240	1	360	500	180000	0.0858	malware04.jpg
231.47	3.00	bus2	1050	1	768	1059	813312	0.7867	busRept08.jpg
234.97	3.00	mal3	1015	2	300	461	138300	0.0396	malware07.jpg
238.47	3.00	mal1	1157	2	205	500	102500	0.0000	malware05.jpg
241.97	3.00	mal1	1845	2	295	500	147500	0.0498	malware09.jpg
245.47	3.00	bus2	829	1	697	1280	892160	0.8739	busRept13.jpg
248.97	3.00	mal3	1746	2	265	500	132500	0.0332	malware10.jpg
252.47	3.00	mal1	1662	2	281	500	140500	0.0421	malware14.jpg
255.97	3.00	bus2	1034	1	756	1280	967680	0.9575	busRept10.jpg
259.47	3.00	mal2	1661	1	271	500	135500	0.0365	malware12.jpg
262.97	3.00	mal3	2766	2	768	1223	939264	0.9261	malware03.jpg
266.47	3.00	mal2	2787	2	410	500	205000	0.1134	malware17.jpg
269.97	3.00	bus1	2161	2	768	1024	786432	0.7569	busRept03.jpg
273.47	3.00	mal2	2020	2	281	500	140500	0.0421	malware14.jpg
276.97	3.00	mal4	1332	2	768	1223	939264	0.9261	malware03.jpg
280.47	3.00	mal3	2361	2	609	1274	775866	0.7452	malware16.jpg
283.97	3.00	bus2	1238	2	720	1280	921600	0.9065	busRept05.jpg
287.47	3.00	mal3	1223	1	407	500	203500	0.1118	malware15.jpg
290.97	3.00	mal3	1706	2	271	500	135500	0.0365	malware12.jpg
294.47	3.00	mal3	2247	2	360	500	180000	0.0858	malware04.jpg
297.97	3.00	novel	1862	1	760	1280	972800	0.9632	busNoRept06.jpg
301.47	3.00	mal2	1397	1	598	1007	602186	0.5530	malware02.jpg
304.97	3.00	mal3	2260	1	383	539	206437	0.1150	malware06.jpg
308.49	3.00	novel	1369	1	768	1148	881664	0.8623	busNoRept08.jpg
311.97	3.00	bus2	960	1	686	1280	878080	0.8583	busRept09.jpg
315.47	3.00	bus2	1621	1	768	1056	811008	0.7841	busRept18.jpg
318.97	3.00	bus3	968	1	692	1280	885760	0.8668	busRept15.jpg
322.47	3.00	bus2	1144	1	686	1280	878080	0.8583	busRept19.jpg
325.97	3.00	mal3	990	2	281	500	140500	0.0421	malware14.jpg
329.47	3.00	mal4	1423	2	300	461	138300	0.0396	malware07.jpg
332.97	3.00	mal2	2565	1	448	500	224000	0.1345	malware20.jpg
336.47	3.00	novel	1936	1	768	875	672000	0.6303	busNoRept14.jpg
339.97	3.00	novel	1534	2	768	1148	881664	0.8623	busNoRept18.jpg
343.47	3.00	bus2	1054	2	768	1024	786432	0.7569	busRept03.jpg
346.97	3.00	mal3	1877	1	410	500	205000	0.1134	malware17.jpg
350.47	3.00	mal3	1890	1	448	500	224000	0.1345	malware20.jpg
353.97	3.00	mal3	1602	1	598	1007	602186	0.5530	malware02.jpg
357.47	3.00	bus3	999	1	686	1280	878080	0.8583	busRept19.jpg
360.97	3.00	bus3	1106	1	768	1056	811008	0.7841	busRept20.jpg
364.47	3.00	bus2	1258	1	686	1280	878080	0.8583	busRept11.jpg
367.97	3.00	bus3	797	1	768	1056	811008	0.7841	busRept18.jpg
