onset	duration	trial_type	RT	response	stim_height	stim_width	stim_area	stim_area_scaled	stim_name
0.47	3.00	bus1	1019	1	697	1280	892160	0.8739	busRept13.jpg
3.97	3.00	bus1	1613	1	768	1024	786432	0.7569	busRept03.jpg
7.47	3.00	novel	1312	1	768	1148	881664	0.8623	busNoRept18.jpg
10.97	3.00	mal1	2173	1	236	500	118000	0.0172	malware08.jpg
14.47	3.00	mal1	1720	1	598	1007	602186	0.5530	malware02.jpg
17.97	3.00	mal1	0	NaN	229	500	114500	0.0133	malware18.jpg
21.47	3.00	bus1	1795	1	756	1280	967680	0.9575	busRept10.jpg
24.97	3.00	novel	1012	1	768	1152	884736	0.8657	busNoRept10.jpg
28.47	3.00	mal2	1790	1	236	500	118000	0.0172	malware08.jpg
31.96	3.00	mal3	1730	1	236	500	118000	0.0172	malware08.jpg
35.47	3.00	mal1	2078	2	768	1223	939264	0.9261	malware03.jpg
38.97	3.00	bus1	1995	1	768	1244	955392	0.9439	busRept14.jpg
42.47	3.00	bus2	1434	1	768	1024	786432	0.7569	busRept03.jpg
45.97	3.00	mal1	2310	1	410	500	205000	0.1134	malware17.jpg
49.47	3.00	mal1	2865	1	271	500	135500	0.0365	malware12.jpg
52.97	3.00	bus2	1056	1	697	1280	892160	0.8739	busRept13.jpg
56.47	3.00	bus1	2230	1	768	1059	813312	0.7867	busRept08.jpg
59.96	3.00	mal1	1795	2	609	1274	775866	0.7452	malware16.jpg
63.46	3.00	mal2	2799	1	271	500	135500	0.0365	malware12.jpg
66.96	3.00	mal1	2438	2	300	461	138300	0.0396	malware07.jpg
70.46	3.00	mal2	2145	1	410	500	205000	0.1134	malware17.jpg
73.96	3.00	novel	2161	1	786	1280	1006080	1.0000	busNoRept17.jpg
77.46	3.00	bus1	0	NaN	772	1280	988160	0.9802	busRept04.jpg
80.65	3.00	mal1	1508	2	383	539	206437	0.1150	malware06.jpg
84.15	3.00	novel	1553	1	768	991	761088	0.7289	busNoRept13.jpg
87.65	3.00	mal1	1420	2	676	1274	861224	0.8397	malware19.jpg
91.15	3.00	bus1	1688	1	721	1280	922880	0.9079	busRept02.jpg
94.65	3.00	mal1	0	NaN	407	500	203500	0.1118	malware15.jpg
98.11	3.00	bus1	1140	1	768	1020	783360	0.7535	busRept01.jpg
101.60	3.00	mal1	1496	1	281	500	140500	0.0421	malware14.jpg
105.10	3.00	bus1	1294	1	768	1056	811008	0.7841	busRept20.jpg
108.60	3.00	mal1	1173	2	205	500	102500	0.0000	malware05.jpg
112.10	3.00	mal3	1571	1	410	500	205000	0.1134	malware17.jpg
115.60	3.00	bus1	1547	1	686	1280	878080	0.8583	busRept09.jpg
119.10	3.00	novel	1823	1	768	1029	790272	0.7612	busNoRept19.jpg
122.59	3.00	mal1	2406	1	448	500	224000	0.1345	malware20.jpg
126.09	3.00	mal1	1276	2	389	500	194500	0.1018	malware01.jpg
129.59	3.00	novel	2229	1	768	1042	800256	0.7722	busNoRept03.jpg
133.09	3.00	mal2	2622	2	448	500	224000	0.1345	malware20.jpg
136.59	3.00	mal2	2462	2	300	461	138300	0.0396	malware07.jpg
140.09	3.00	bus2	1554	1	756	1280	967680	0.9575	busRept10.jpg
