onset	duration	trial_type	RT	response	stim_height	stim_width	stim_area	stim_area_scaled	stim_name
0.47	3.00	bus1	862	1	768	1029	790272	0.7612	busRept12.jpg
3.97	3.00	bus1	1671	1	756	1280	967680	0.9575	busRept10.jpg
7.47	3.00	bus1	1817	1	768	1056	811008	0.7841	busRept18.jpg
10.97	3.00	bus1	1390	2	768	1244	955392	0.9439	busRept14.jpg
14.47	3.00	mal1	0	NaN	407	500	203500	0.1118	malware15.jpg
17.60	3.00	mal1	1293	1	360	500	180000	0.0858	malware04.jpg
21.10	3.00	mal1	1792	2	265	500	132500	0.0332	malware10.jpg
24.60	3.00	bus1	1590	1	768	879	675072	0.6337	busRept16.jpg
28.10	3.00	bus1	1095	1	768	1148	881664	0.8623	busRept17.jpg
31.60	3.00	mal1	1320	1	389	500	194500	0.1018	malware01.jpg
35.10	3.00	mal1	2214	2	271	500	135500	0.0365	malware12.jpg
38.60	3.00	mal1	1282	1	236	500	118000	0.0172	malware08.jpg
42.10	3.00	mal2	1837	1	360	500	180000	0.0858	malware04.jpg
45.60	3.00	bus2	753	1	768	1029	790272	0.7612	busRept12.jpg
49.10	3.00	mal2	1184	2	265	500	132500	0.0332	malware10.jpg
52.60	3.00	mal1	957	1	281	500	140500	0.0421	malware14.jpg
56.10	3.00	bus1	1083	1	697	1280	892160	0.8739	busRept13.jpg
59.60	3.00	bus1	1723	1	686	1280	878080	0.8583	busRept19.jpg
63.10	3.00	mal1	1356	1	229	500	114500	0.0133	malware18.jpg
66.60	3.00	novel	1436	1	768	1042	800256	0.7722	busNoRept03.jpg
70.10	3.00	mal1	1537	2	300	461	138300	0.0396	malware07.jpg
73.60	3.00	bus1	1415	1	686	1280	878080	0.8583	busRept09.jpg
77.10	3.00	bus1	1037	1	768	1056	811008	0.7841	busRept20.jpg
80.60	3.00	mal1	2310	1	295	500	147500	0.0498	malware09.jpg
84.10	3.00	mal2	1143	2	271	500	135500	0.0365	malware12.jpg
87.60	3.00	bus1	879	1	760	1280	972800	0.9632	busRept07.jpg
91.10	3.00	bus1	1014	1	768	1020	783360	0.7535	busRept01.jpg
94.60	3.00	mal1	1084	1	676	1274	861224	0.8397	malware19.jpg
98.10	3.00	bus2	2011	1	768	1244	955392	0.9439	busRept14.jpg
101.60	3.00	bus1	1629	1	686	1280	878080	0.8583	busRept11.jpg
105.10	3.00	novel	1064	1	768	1148	881664	0.8623	busNoRept18.jpg
108.59	3.00	mal1	1302	1	205	500	102500	0.0000	malware05.jpg
112.09	3.00	mal2	1233	1	389	500	194500	0.1018	malware01.jpg
115.59	3.00	bus2	2122	1	768	879	675072	0.6337	busRept16.jpg
119.09	3.00	bus2	728	1	760	1280	972800	0.9632	busRept07.jpg
122.59	3.00	mal1	1436	2	768	1223	939264	0.9261	malware03.jpg
126.09	3.00	mal1	1755	1	410	500	205000	0.1134	malware17.jpg
129.59	3.00	bus1	2834	1	772	1280	988160	0.9802	busRept04.jpg
133.09	3.00	mal2	1040	2	300	461	138300	0.0396	malware07.jpg
136.59	3.00	mal1	1001	1	598	1007	602186	0.5530	malware02.jpg
140.09	3.00	bus2	663	1	768	1148	881664	0.8623	busRept17.jpg
143.59	3.00	novel	1338	1	768	1152	884736	0.8657	busNoRept10.jpg
147.09	3.00	mal2	722	1	598	1007	602186	0.5530	malware02.jpg
150.59	3.00	bus2	1390	2	768	1056	811008	0.7841	busRept18.jpg
154.09	3.00	mal1	1474	2	448	500	224000	0.1345	malware20.jpg
157.59	3.00	bus1	1106	1	721	1280	922880	0.9079	busRept02.jpg
161.09	3.00	bus1	1321	1	768	1024	786432	0.7569	busRept03.jpg
164.59	3.00	mal2	1871	1	768	1223	939264	0.9261	malware03.jpg
168.09	3.00	bus2	0	NaN	768	1056	811008	0.7841	busRept20.jpg
171.59	3.00	bus2	919	1	772	1280	988160	0.9802	busRept04.jpg
175.09	3.00	novel	1262	1	768	1148	881664	0.8623	busNoRept08.jpg
178.59	3.00	bus3	824	1	760	1280	972800	0.9632	busRept07.jpg
182.09	3.00	mal3	977	2	768	1223	939264	0.9261	malware03.jpg
185.59	3.00	mal1	714	1	334	500	167000	0.0714	malware13.jpg
189.09	3.00	mal1	1007	1	383	539	206437	0.1150	malware06.jpg
192.59	3.00	mal2	901	1	205	500	102500	0.0000	malware05.jpg
196.09	3.00	bus2	1364	1	756	1280	967680	0.9575	busRept10.jpg
199.59	3.00	bus1	1594	1	768	1059	813312	0.7867	busRept08.jpg
203.09	3.00	mal1	1382	2	457	500	228500	0.1394	malware11.jpg
206.59	3.00	mal2	1215	2	448	500	224000	0.1345	malware20.jpg
210.09	3.00	mal2	2234	2	229	500	114500	0.0133	malware18.jpg
213.59	3.00	bus2	735	1	697	1280	892160	0.8739	busRept13.jpg
217.09	3.00	bus1	2487	2	720	1280	921600	0.9065	busRept05.jpg
220.59	3.00	mal2	1513	2	334	500	167000	0.0714	malware13.jpg
224.09	3.00	mal2	0	NaN	295	500	147500	0.0498	malware09.jpg
227.44	3.00	mal2	1430	1	281	500	140500	0.0421	malware14.jpg
230.92	3.00	novel	997	1	768	904	694272	0.6549	busNoRept09.jpg
234.42	3.00	mal2	2133	1	407	500	203500	0.1118	malware15.jpg
237.92	3.00	novel	1936	1	686	1280	878080	0.8583	busNoRept15.jpg
241.42	3.00	bus2	703	1	768	1020	783360	0.7535	busRept01.jpg
244.92	3.00	bus1	724	1	692	1280	885760	0.8668	busRept15.jpg
248.42	3.00	novel	1170	1	768	991	761088	0.7289	busNoRept13.jpg
251.92	3.00	bus2	1889	2	768	1024	786432	0.7569	busRept03.jpg
255.42	3.00	mal3	1518	2	448	500	224000	0.1345	malware20.jpg
258.92	3.00	mal2	1704	2	383	539	206437	0.1150	malware06.jpg
262.42	3.00	mal2	2617	1	457	500	228500	0.1394	malware11.jpg
265.92	3.00	bus2	1347	1	768	1059	813312	0.7867	busRept08.jpg
