onset	duration	trial_type	RT	response	stim_height	stim_width	stim_area	stim_area_scaled	stim_name
0.48	3.00	mal4	839	1	407	500	203500	0.1118	malware15.jpg
3.98	3.00	bus3	634	1	768	1029	790272	0.7612	busRept12.jpg
7.48	3.00	bus4	800	1	760	1280	972800	0.9632	busRept07.jpg
10.98	3.00	mal4	1100	2	334	500	167000	0.0714	malware13.jpg
14.48	3.00	mal4	1729	1	383	539	206437	0.1150	malware06.jpg
17.98	3.00	bus4	647	1	692	1280	885760	0.8668	busRept15.jpg
21.48	3.00	bus3	848	1	768	1020	783360	0.7535	busRept01.jpg
24.98	3.00	bus4	1155	1	772	1280	988160	0.9802	busRept04.jpg
28.48	3.00	bus4	826	1	686	1280	878080	0.8583	busRept19.jpg
31.98	3.00	bus5	795	1	760	1280	972800	0.9632	busRept07.jpg
35.48	3.00	bus4	528	1	768	1029	790272	0.7612	busRept12.jpg
38.98	3.00	novel	564	1	768	1003	770304	0.7391	busNoRept01.jpg
42.48	3.00	bus4	681	1	768	1020	783360	0.7535	busRept01.jpg
45.98	3.00	novel	1266	1	768	1029	790272	0.7612	busNoRept20.jpg
49.48	3.00	novel	743	1	768	1009	774912	0.7442	busNoRept07.jpg
52.98	3.00	mal5	831	2	334	500	167000	0.0714	malware13.jpg
56.48	3.00	bus4	826	1	768	879	675072	0.6337	busRept16.jpg
59.98	3.00	bus3	606	1	686	1280	878080	0.8583	busRept11.jpg
63.48	3.00	bus3	703	1	768	1021	784128	0.7544	busRept06.jpg
66.98	3.00	mal4	958	2	205	500	102500	0.0000	malware05.jpg
70.48	3.00	mal4	1134	1	281	500	140500	0.0421	malware14.jpg
73.98	3.00	mal4	1573	1	410	500	205000	0.1134	malware17.jpg
77.48	3.00	novel	1626	2	768	1024	786432	0.7569	busNoRept02.jpg
80.98	3.00	bus4	1766	1	768	1056	811008	0.7841	busRept18.jpg
84.48	3.00	mal4	1559	2	389	500	194500	0.1018	malware01.jpg
87.98	3.00	novel	1241	1	768	1090	837120	0.8130	busNoRept05.jpg
91.48	3.00	mal4	1515	2	609	1274	775866	0.7452	malware16.jpg
94.98	3.00	mal4	2474	1	457	500	228500	0.1394	malware11.jpg
98.48	3.00	bus4	1058	1	768	1021	784128	0.7544	busRept06.jpg
101.98	3.00	bus3	1055	1	721	1280	922880	0.9079	busRept02.jpg
105.48	3.00	bus5	703	1	768	1020	783360	0.7535	busRept01.jpg
108.98	3.00	bus4	571	1	686	1280	878080	0.8583	busRept11.jpg
112.48	3.00	bus4	1297	2	720	1280	921600	0.9065	busRept05.jpg
115.98	3.00	bus4	617	1	768	1148	881664	0.8623	busRept17.jpg
119.48	3.00	mal4	614	1	236	500	118000	0.0172	malware08.jpg
122.98	3.00	bus5	545	1	768	1029	790272	0.7612	busRept12.jpg
126.48	3.00	novel	727	1	768	1029	790272	0.7612	busNoRept16.jpg
129.98	3.00	bus4	644	1	686	1280	878080	0.8583	busRept09.jpg
133.48	3.00	mal5	1249	2	389	500	194500	0.1018	malware01.jpg
136.98	3.00	bus4	924	1	768	1244	955392	0.9439	busRept14.jpg
140.48	3.00	bus3	1594	1	756	1280	967680	0.9575	busRept10.jpg
143.98	3.00	mal5	2048	2	457	500	228500	0.1394	malware11.jpg
147.48	3.00	mal5	809	2	609	1274	775866	0.7452	malware16.jpg
150.99	3.00	bus4	866	1	756	1280	967680	0.9575	busRept10.jpg
154.49	3.00	bus4	749	1	697	1280	892160	0.8739	busRept13.jpg
157.99	3.00	mal5	1447	1	271	500	135500	0.0365	malware12.jpg
161.49	3.00	mal5	1581	2	383	539	206437	0.1150	malware06.jpg
164.99	3.00	novel	631	1	768	1056	811008	0.7841	busNoRept12.jpg
168.49	3.00	bus5	834	1	772	1280	988160	0.9802	busRept04.jpg
171.99	3.00	bus5	478	1	697	1280	892160	0.8739	busRept13.jpg
175.49	3.00	bus5	466	1	686	1280	878080	0.8583	busRept19.jpg
178.99	3.00	mal4	1493	2	448	500	224000	0.1345	malware20.jpg
182.49	3.00	bus5	651	1	686	1280	878080	0.8583	busRept11.jpg
