onset	duration	trial_type	RT	response	stim_height	stim_width	stim_area	stim_area_scaled	stim_name
0.47	3.00	bus4	1674	2	686	1280	878080	0.8583	busRept19.jpg
3.97	3.00	bus3	859	1	756	1280	967680	0.9575	busRept10.jpg
7.47	3.00	mal4	962	2	389	500	194500	0.1018	malware01.jpg
10.97	3.00	mal4	1006	1	598	1007	602186	0.5530	malware02.jpg
14.47	3.00	mal5	1107	1	768	1223	939264	0.9261	malware03.jpg
17.97	3.00	mal4	890	1	457	500	228500	0.1394	malware11.jpg
21.46	3.00	mal5	1588	1	676	1274	861224	0.8397	malware19.jpg
24.96	3.00	mal4	1338	2	360	500	180000	0.0858	malware04.jpg
28.46	3.00	novel	829	1	768	1009	774912	0.7442	busNoRept07.jpg
31.96	3.00	mal5	1213	1	457	500	228500	0.1394	malware11.jpg
35.47	3.00	mal4	1344	1	281	500	140500	0.0421	malware14.jpg
38.97	3.00	bus4	710	1	692	1280	885760	0.8668	busRept15.jpg
42.47	3.00	mal4	1311	1	265	500	132500	0.0332	malware10.jpg
45.96	3.00	bus3	648	1	768	1029	790272	0.7612	busRept12.jpg
49.46	3.00	mal4	1174	1	229	500	114500	0.0133	malware18.jpg
52.96	3.00	mal4	715	1	236	500	118000	0.0172	malware08.jpg
56.46	3.00	bus3	1616	1	686	1280	878080	0.8583	busRept11.jpg
59.96	3.00	bus4	959	1	686	1280	878080	0.8583	busRept11.jpg
63.46	3.00	bus3	662	1	768	1020	783360	0.7535	busRept01.jpg
66.96	3.00	mal4	1312	2	609	1274	775866	0.7452	malware16.jpg
70.46	3.00	bus4	603	1	768	1059	813312	0.7867	busRept08.jpg
73.96	3.00	bus4	812	1	720	1280	921600	0.9065	busRept05.jpg
77.46	3.00	bus4	546	1	768	1029	790272	0.7612	busRept12.jpg
80.96	3.00	bus4	552	1	768	1148	881664	0.8623	busRept17.jpg
84.46	3.00	mal4	1413	1	383	539	206437	0.1150	malware06.jpg
87.96	3.00	bus5	568	1	686	1280	878080	0.8583	busRept19.jpg
91.46	3.00	mal4	2012	1	407	500	203500	0.1118	malware15.jpg
94.96	3.00	bus4	611	1	768	1056	811008	0.7841	busRept20.jpg
98.46	3.00	mal4	1226	2	334	500	167000	0.0714	malware13.jpg
101.96	3.00	mal5	1053	1	271	500	135500	0.0365	malware12.jpg
105.46	3.00	bus4	609	1	768	879	675072	0.6337	busRept16.jpg
108.96	3.00	bus5	543	1	768	879	675072	0.6337	busRept16.jpg
112.46	3.00	mal4	685	2	205	500	102500	0.0000	malware05.jpg
115.96	3.00	bus3	473	1	768	1021	784128	0.7544	busRept06.jpg
119.46	3.00	bus4	670	1	768	1020	783360	0.7535	busRept01.jpg
122.96	3.00	bus4	1174	1	760	1280	972800	0.9632	busRept07.jpg
126.46	3.00	bus4	930	1	768	1056	811008	0.7841	busRept18.jpg
129.96	3.00	bus3	577	1	721	1280	922880	0.9079	busRept02.jpg
133.46	3.00	mal4	1588	2	448	500	224000	0.1345	malware20.jpg
136.96	3.00	mal4	823	1	410	500	205000	0.1134	malware17.jpg
140.46	3.00	novel	1179	1	768	1024	786432	0.7569	busNoRept02.jpg
143.96	3.00	bus5	804	1	692	1280	885760	0.8668	busRept15.jpg
147.46	3.00	bus4	511	1	768	1021	784128	0.7544	busRept06.jpg
150.96	3.00	bus5	657	1	768	1020	783360	0.7535	busRept01.jpg
154.46	3.00	mal5	1113	1	281	500	140500	0.0421	malware14.jpg
