onset	duration	trial_type	RT	response	stim_height	stim_width	stim_area	stim_area_scaled	stim_name
0.48	3.00	novel	1298	1	768	1029	790272	0.7612	busNoRept16.jpg
3.98	3.00	mal4	776	2	334	500	167000	0.0714	malware13.jpg
7.48	3.00	bus4	678	2	720	1280	921600	0.9065	busRept05.jpg
10.98	3.00	novel	756	1	768	1029	790272	0.7612	busNoRept20.jpg
14.48	3.00	mal5	505	1	300	461	138300	0.0396	malware07.jpg
17.98	3.00	bus4	824	1	768	879	675072	0.6337	busRept16.jpg
21.48	3.00	mal4	500	2	229	500	114500	0.0133	malware18.jpg
24.98	3.00	bus4	587	1	768	1059	813312	0.7867	busRept08.jpg
28.48	3.00	mal4	836	2	383	539	206437	0.1150	malware06.jpg
31.98	3.00	mal4	913	1	265	500	132500	0.0332	malware10.jpg
35.48	3.00	bus3	711	1	756	1280	967680	0.9575	busRept10.jpg
38.98	3.00	mal5	1001	2	271	500	135500	0.0365	malware12.jpg
42.48	3.00	mal4	1051	2	360	500	180000	0.0858	malware04.jpg
45.98	3.00	bus4	668	1	768	1148	881664	0.8623	busRept17.jpg
49.48	3.00	bus5	641	1	768	879	675072	0.6337	busRept16.jpg
52.98	3.00	bus3	757	1	768	1020	783360	0.7535	busRept01.jpg
56.48	3.00	novel	852	1	768	1176	903168	0.8861	busNoRept11.jpg
59.98	3.00	bus4	538	1	756	1280	967680	0.9575	busRept10.jpg
63.48	3.00	bus5	475	1	768	1059	813312	0.7867	busRept08.jpg
66.98	3.00	mal5	1603	1	265	500	132500	0.0332	malware10.jpg
70.48	3.00	mal4	1594	2	448	500	224000	0.1345	malware20.jpg
73.98	3.00	bus4	549	1	760	1280	972800	0.9632	busRept07.jpg
77.48	3.00	bus4	812	1	768	1244	955392	0.9439	busRept14.jpg
80.98	3.00	mal5	1741	2	448	500	224000	0.1345	malware20.jpg
84.48	3.00	mal4	631	2	609	1274	775866	0.7452	malware16.jpg
87.98	3.00	bus6	769	1	768	879	675072	0.6337	busRept16.jpg
91.48	3.00	bus5	485	1	768	1148	881664	0.8623	busRept17.jpg
94.98	3.00	mal5	517	2	609	1274	775866	0.7452	malware16.jpg
98.48	3.00	novel	789	1	768	1024	786432	0.7569	busNoRept02.jpg
101.98	3.00	bus4	514	1	692	1280	885760	0.8668	busRept15.jpg
105.48	3.00	mal4	1002	2	598	1007	602186	0.5530	malware02.jpg
108.98	3.00	bus4	589	1	768	1020	783360	0.7535	busRept01.jpg
112.48	3.00	novel	655	1	768	1003	770304	0.7391	busNoRept01.jpg
115.98	3.00	mal4	766	2	407	500	203500	0.1118	malware15.jpg
