onset	duration	trial_type	RT	response	stim_height	stim_width	stim_area	stim_area_scaled	stim_name
0.47	3.00	bus3	1838	1	686	1280	878080	0.8583	busRept11.jpg
3.97	3.00	mal5	1485	1	676	1274	861224	0.8397	malware19.jpg
7.47	3.00	bus4	1474	1	768	1244	955392	0.9439	busRept14.jpg
10.97	3.00	bus3	694	1	768	1020	783360	0.7535	busRept01.jpg
14.47	3.00	mal4	935	1	229	500	114500	0.0133	malware18.jpg
17.97	3.00	bus4	1007	2	720	1280	921600	0.9065	busRept05.jpg
21.47	3.00	novel	1200	1	768	1176	903168	0.8861	busNoRept11.jpg
24.97	3.00	bus3	662	1	768	1021	784128	0.7544	busRept06.jpg
28.47	3.00	bus4	1002	1	686	1280	878080	0.8583	busRept11.jpg
31.97	3.00	bus4	704	1	768	1148	881664	0.8623	busRept17.jpg
35.47	3.00	bus3	1247	1	756	1280	967680	0.9575	busRept10.jpg
38.97	3.00	mal4	2301	2	598	1007	602186	0.5530	malware02.jpg
42.47	3.00	novel	1367	1	768	1056	811008	0.7841	busNoRept12.jpg
45.97	3.00	mal4	2460	2	360	500	180000	0.0858	malware04.jpg
49.47	3.00	mal5	1027	1	300	461	138300	0.0396	malware07.jpg
52.97	3.00	bus4	1664	2	768	1024	786432	0.7569	busRept03.jpg
56.47	3.00	bus4	1029	1	760	1280	972800	0.9632	busRept07.jpg
59.97	3.00	mal5	784	2	360	500	180000	0.0858	malware04.jpg
63.47	3.00	bus4	1532	1	768	1056	811008	0.7841	busRept18.jpg
66.97	3.00	bus4	1307	1	697	1280	892160	0.8739	busRept13.jpg
70.46	3.00	mal4	1369	2	205	500	102500	0.0000	malware05.jpg
73.96	3.00	bus5	920	2	720	1280	921600	0.9065	busRept05.jpg
77.46	3.00	bus4	1164	1	768	1056	811008	0.7841	busRept20.jpg
80.96	3.00	mal4	2283	1	383	539	206437	0.1150	malware06.jpg
84.46	3.00	bus4	1113	1	686	1280	878080	0.8583	busRept09.jpg
87.96	3.00	mal4	2213	1	410	500	205000	0.1134	malware17.jpg
91.46	3.00	mal4	820	2	334	500	167000	0.0714	malware13.jpg
94.96	3.00	mal5	2660	1	271	500	135500	0.0365	malware12.jpg
98.46	3.00	bus4	801	1	768	879	675072	0.6337	busRept16.jpg
101.96	3.00	bus5	604	1	686	1280	878080	0.8583	busRept09.jpg
105.46	3.00	mal4	1111	2	281	500	140500	0.0421	malware14.jpg
108.96	3.00	mal4	1912	1	265	500	132500	0.0332	malware10.jpg
112.46	3.00	bus3	876	1	768	1029	790272	0.7612	busRept12.jpg
115.96	3.00	bus4	618	1	768	1021	784128	0.7544	busRept06.jpg
119.46	3.00	bus4	918	2	686	1280	878080	0.8583	busRept19.jpg
122.96	3.00	bus5	675	1	768	879	675072	0.6337	busRept16.jpg
126.46	3.00	bus4	1400	1	768	1020	783360	0.7535	busRept01.jpg
129.96	3.00	mal4	1279	1	236	500	118000	0.0172	malware08.jpg
133.46	3.00	mal5	0	NaN	265	500	132500	0.0332	malware10.jpg
136.96	3.00	mal4	914	2	295	500	147500	0.0498	malware09.jpg
140.46	3.00	mal6	1987	1	300	461	138300	0.0396	malware07.jpg
143.96	3.00	mal4	1072	2	609	1274	775866	0.7452	malware16.jpg
147.46	3.00	bus5	1003	2	686	1280	878080	0.8583	busRept19.jpg
150.96	3.00	bus5	830	1	686	1280	878080	0.8583	busRept11.jpg
154.46	3.00	mal5	1464	2	295	500	147500	0.0498	malware09.jpg
157.96	3.00	mal5	1030	2	768	1223	939264	0.9261	malware03.jpg
161.46	3.00	mal5	988	1	383	539	206437	0.1150	malware06.jpg
164.96	3.00	novel	1663	2	768	1090	837120	0.8130	busNoRept05.jpg
168.46	3.00	bus4	1387	1	692	1280	885760	0.8668	busRept15.jpg
171.96	3.00	bus3	2596	1	721	1280	922880	0.9079	busRept02.jpg
175.46	3.00	novel	1054	1	768	1009	774912	0.7442	busNoRept07.jpg
178.98	3.00	mal4	1155	1	457	500	228500	0.1394	malware11.jpg
182.48	3.00	novel	1757	1	768	1003	770304	0.7391	busNoRept01.jpg
185.98	3.00	bus5	1113	1	768	1056	811008	0.7841	busRept20.jpg
189.48	3.00	bus5	949	1	692	1280	885760	0.8668	busRept15.jpg
192.98	3.00	bus4	878	1	768	1029	790272	0.7612	busRept12.jpg
196.48	3.00	mal5	941	1	236	500	118000	0.0172	malware08.jpg
199.98	3.00	mal5	892	2	334	500	167000	0.0714	malware13.jpg
203.48	3.00	mal4	1038	1	407	500	203500	0.1118	malware15.jpg
206.98	3.00	mal5	1249	1	407	500	203500	0.1118	malware15.jpg
210.48	3.00	mal5	1431	2	205	500	102500	0.0000	malware05.jpg
213.98	3.00	bus5	755	1	768	1148	881664	0.8623	busRept17.jpg
217.47	3.00	mal4	0	NaN	389	500	194500	0.1018	malware01.jpg
220.97	3.00	bus4	2363	1	772	1280	988160	0.9802	busRept04.jpg
224.47	3.00	novel	1568	1	768	1024	786432	0.7569	busNoRept02.jpg
227.97	3.00	mal6	964	1	383	539	206437	0.1150	malware06.jpg
231.47	3.00	mal5	917	2	281	500	140500	0.0421	malware14.jpg
234.97	3.00	bus4	1098	1	768	1059	813312	0.7867	busRept08.jpg
238.47	3.00	bus5	1650	1	772	1280	988160	0.9802	busRept04.jpg
241.97	3.00	mal5	1603	1	410	500	205000	0.1134	malware17.jpg
245.47	3.00	bus5	866	1	697	1280	892160	0.8739	busRept13.jpg
248.97	3.00	mal5	877	1	229	500	114500	0.0133	malware18.jpg
252.47	3.00	mal6	826	2	334	500	167000	0.0714	malware13.jpg
255.97	3.00	bus5	987	1	768	1020	783360	0.7535	busRept01.jpg
259.47	3.00	bus5	776	2	768	1024	786432	0.7569	busRept03.jpg
262.97	3.00	mal5	1881	2	598	1007	602186	0.5530	malware02.jpg
266.47	3.00	mal6	1214	1	676	1274	861224	0.8397	malware19.jpg
269.97	3.00	bus6	1374	1	686	1280	878080	0.8583	busRept11.jpg
273.47	3.00	mal6	792	2	205	500	102500	0.0000	malware05.jpg
276.97	3.00	mal6	941	2	598	1007	602186	0.5530	malware02.jpg
280.47	3.00	bus4	758	1	756	1280	967680	0.9575	busRept10.jpg
283.97	3.00	mal5	1240	1	457	500	228500	0.1394	malware11.jpg
287.47	3.00	bus6	1284	2	697	1280	892160	0.8739	busRept13.jpg
290.97	3.00	novel	943	1	768	1029	790272	0.7612	busNoRept20.jpg
294.47	3.00	bus4	1108	1	721	1280	922880	0.9079	busRept02.jpg
297.97	3.00	bus5	1428	1	768	1056	811008	0.7841	busRept18.jpg
301.47	3.00	mal6	1029	2	295	500	147500	0.0498	malware09.jpg
304.97	3.00	bus6	835	1	768	1148	881664	0.8623	busRept17.jpg
308.47	3.00	bus6	1241	1	772	1280	988160	0.9802	busRept04.jpg
311.97	3.00	mal6	1188	1	236	500	118000	0.0172	malware08.jpg
