onset	duration	trial_type	RT	response	stim_height	stim_width	stim_area	stim_area_scaled	stim_name
0.48	3.00	bus1	1321	1	686	1280	878080	0.8583	busRept09.jpg
3.98	3.00	mal1	1831	1	271	500	135500	0.0365	malware12.jpg
7.48	3.00	mal1	2147	1	609	1274	775866	0.7452	malware16.jpg
10.98	3.00	bus1	1512	1	768	879	675072	0.6337	busRept16.jpg
14.48	3.00	bus1	1537	1	768	1021	784128	0.7544	busRept06.jpg
17.98	3.00	mal1	1635	1	383	539	206437	0.1150	malware06.jpg
21.48	3.00	bus1	1414	1	768	1056	811008	0.7841	busRept18.jpg
24.98	3.00	bus1	923	1	768	1020	783360	0.7535	busRept01.jpg
28.48	3.00	mal2	1170	1	609	1274	775866	0.7452	malware16.jpg
31.98	3.00	novel	915	1	768	1029	790272	0.7612	busNoRept19.jpg
35.48	3.00	mal1	1975	2	229	500	114500	0.0133	malware18.jpg
38.98	3.00	bus1	908	1	692	1280	885760	0.8668	busRept15.jpg
42.48	3.00	bus1	2132	2	768	1024	786432	0.7569	busRept03.jpg
45.98	3.00	novel	1082	1	768	1152	884736	0.8657	busNoRept10.jpg
49.48	3.00	mal1	1297	1	768	1223	939264	0.9261	malware03.jpg
52.98	3.00	mal1	2746	1	265	500	132500	0.0332	malware10.jpg
56.48	3.00	mal2	1401	1	768	1223	939264	0.9261	malware03.jpg
59.98	3.00	mal1	2062	2	300	461	138300	0.0396	malware07.jpg
63.48	3.00	mal1	2326	2	410	500	205000	0.1134	malware17.jpg
66.98	3.00	mal1	2654	2	334	500	167000	0.0714	malware13.jpg
70.48	3.00	mal2	1482	1	271	500	135500	0.0365	malware12.jpg
73.98	3.00	mal2	757	1	383	539	206437	0.1150	malware06.jpg
77.48	3.00	mal2	1877	2	229	500	114500	0.0133	malware18.jpg
80.98	3.00	bus2	874	1	768	879	675072	0.6337	busRept16.jpg
84.48	3.00	bus1	1647	2	697	1280	892160	0.8739	busRept13.jpg
87.98	3.00	mal1	1628	1	448	500	224000	0.1345	malware20.jpg
91.48	3.00	bus1	971	1	760	1280	972800	0.9632	busRept07.jpg
94.98	3.00	mal1	1147	2	389	500	194500	0.1018	malware01.jpg
98.48	3.00	bus3	889	1	768	879	675072	0.6337	busRept16.jpg
101.98	3.00	mal1	2147	1	295	500	147500	0.0498	malware09.jpg
105.48	3.00	mal1	2251	1	281	500	140500	0.0421	malware14.jpg
108.98	3.00	mal2	1289	2	300	461	138300	0.0396	malware07.jpg
112.48	3.00	mal1	1650	2	457	500	228500	0.1394	malware11.jpg
115.98	3.00	mal1	1487	1	407	500	203500	0.1118	malware15.jpg
119.48	3.00	mal2	1876	2	265	500	132500	0.0332	malware10.jpg
122.98	3.00	novel	1780	1	760	1280	972800	0.9632	busNoRept06.jpg
126.48	3.00	bus1	1231	1	686	1280	878080	0.8583	busRept19.jpg
129.98	3.00	mal1	1383	1	676	1274	861224	0.8397	malware19.jpg
133.48	3.00	bus2	1027	1	686	1280	878080	0.8583	busRept09.jpg
136.98	3.00	mal1	1090	2	205	500	102500	0.0000	malware05.jpg
140.48	3.00	bus2	865	1	768	1056	811008	0.7841	busRept18.jpg
143.98	3.00	mal2	1079	2	389	500	194500	0.1018	malware01.jpg
147.48	3.00	mal2	818	2	334	500	167000	0.0714	malware13.jpg
150.98	3.00	mal2	1220	2	205	500	102500	0.0000	malware05.jpg
154.48	3.00	bus2	1563	2	768	1024	786432	0.7569	busRept03.jpg
157.98	3.00	mal1	1434	1	360	500	180000	0.0858	malware04.jpg
161.48	3.00	bus1	1139	1	768	1029	790272	0.7612	busRept12.jpg
164.98	3.00	mal2	1863	2	410	500	205000	0.1134	malware17.jpg
168.48	3.00	bus2	839	1	768	1020	783360	0.7535	busRept01.jpg
